'ge'li'qu'she'zhi 隔离区设置
'ai'hua'zhen 矮化砧
'li'ke'jun 利克菌
'yun'nan'ri'bao 云南日报
'nai'niu 奶牛
'qi'ta'qin'lei 其他禽类
'an'hong'se 暗红色
'dao'zhi'zong'ji'ma 稻直鬃蓟马
'fa'bing'zhi'shu 发病指数
'zhi'shi'xing 植食性
'zu'pei'shi 组培室
'dao'gu'san'deng'pin 稻谷三等品
're'shui'tang 热水塘
'ju'huang'fen'shi 桔黄粉虱
'sai'bo'kai 赛波凯
'chi'yan'feng 赤眼蜂
'ji'sai'zuo 几噻唑
'tu'pi 兔皮
'mu'yong 亩用
'ren'kou'jian'shao 人口减少
'fu'nan'dan 呋喃丹
'nong'min'tou'su'an'jian 农民投诉案件
'run'hua'you 润滑油
'wei'xiao'fei'zhe'suo'xi'ai 为消费者所喜爱
'jia'ji'dui'liu'lin 甲基对硫磷
'gong'gong'qi'che 公共汽车
'fu'huan'zuo 氟环唑
'zeng'chan'an 增产胺
'chan'zhi'zi'jin'lv 产值资金率
'ceng'ceng'shai'xuan 层层筛选
'shou'zai'nong'hu 受灾农户
'wai'chu'wu'gong 外出务工
'bu'xin'jiao 不信教
'zheng'fu 政府
'gao'chao 高潮
'hua'xian'zhi'piao 划线支票
'jin'yu'cao 金鱼草
'jian'ma 剑麻
'chu'rang'jin 出让金
'zheng'ce 政策
'da'jia'ting 大家庭
'dan'wei'mian'ji'si'cao'chan'liang 单位面积饲草产量
'mie'you'niao'san'hao 灭幼脲三号
'lou'ti'lan'gan 楼梯栏杆
'nong'ye'zhi'fa'dui'wu 农业执法队伍
'tie'shan 铁杉
'cha'hong'xiu'zao'bing 茶红锈藻病
'huang'ke 黄壳
'jin'xing'sang'can'ji'shu'pei'xun 进行桑蚕技术培训
'jing'ni'ping'dai 京尼平甙
'xu'qin'sheng'chan'zhou'qi 畜禽生产周期
'nong'ye'xiao'yi 农业效益
'jiang'shi 降湿
'bian'xing 变性
'jun'gong'gong'cheng'chan'zhi 竣工工程产值
'zhong'sang'yang'can'de'li'shi 种桑养蚕的历史
'lv'bi'liu'lin 氯吡硫磷
'mei'tan 煤炭
'xin'wen'xiao'shuo 新闻小说
'ban'gong 办公
'ju'ban'pei'xun'ban 举办培训班
'chi'mei'su 赤霉素
'ban'ku'bing 斑枯病
'sheng'jiang'ti 升降梯
'jian'dan 煎蛋
'you'zhi'dao 优质稻
'guo'cai'lei'shu'cai 果菜类蔬菜
'er'qing'en'kun 二氰蒽醌
'luo'wu'wen'hua 罗婺文化
'nan'mei'li'shu 南美栗鼠
'qian'niu'xing 牵牛星
'huo'yun'che 货运车
'wan'ding 畹町
'ruo'zhu 弱株
'zhe'yi 这一
'xian'xin'nong'he'ban 县新农合办
'chao'bai 朝拜
'fu'bing'ju'zhi 氟丙菊酯
'fu'bu 符埠
'fang'she'tu'rang'gan'jun 放射土壤杆菌
'jin'si'que 金丝雀
'mi'xiang 米象
'mo'gui'jun 莫贵军
'nong'hu'quan'nian'chun'shou'ru 农户全年纯收入
'nong'ye'sheng'chan'she'hui'hua 农业生产社会化
'sao'man'bao 扫螨宝
'shi'lin 石林
'nong'hu 农户
'gen'cai'lei'shu'cai 根菜类蔬菜
'you'yi'pi 有一批
'cao'fu'ta 草服它
'shan'zhu'zi 山竹子
'tan'an 碳铵
'sheng'cheng'qi 生成器
'dan'xing'xian 单行线
'nong'chan'pin'zhi'liang'an'quan'liu'dong'gong'zuo'zhan 农产品质量安全流动工作站
'shui'zi'zhuang 水渍状
'dou'gan'hei'qian'ying 豆秆黑潜蝇
'guo'jia'ji'nong'ye'chan'ye'hua'zhong'dian'long'tou'qi'ye 国家级农业产业化重点龙头企业
'jia'chi 假齿
'zhi'nong'hui'nong 支农惠农
'xiang'pi'ca 橡皮擦
'fa'guo 发果
'xiao'jing 小井
'lu'feng 陆风
'you'dai'gai'jin 有待改进
'yin'di'zhi'yi 因地制宜
'shi'chong'piao'chong 食虫瓢虫
'jiang'xue 降雪
'nong'yong'gong'ye 农用工业
'bei'bu'wan'jing'ji'qu 北部湾经济区
'chun'bo 春播
'bai'hu'die 白蝴蝶
'dou'ya'cai 豆芽菜
'ban'bing 斑病
'jiu'jing'ce'ding'ji 酒精测定计
'si'ye'ping 四叶萍
'zhu'yao'nong'chan'pin 主要农产品
'nv'ji'shi'yuan 女记事员
'gao'wan 睾丸
'huo'li 活力
'quan'nian'liang'shi'chan'liang 全年粮食产量
'tu'di'zhuan'bao 土地转包
'mei'gui'jin'ye'e 玫瑰巾夜蛾
'ye'ge 野鸽
'yi'wei'xi 易位系
'jiao'zhong'ling 搅种灵
'he'tian'niu 褐天牛
'ji'jie 季节
'yi'dong'gong'jian'she 已动工建设
'long'da'na 隆大拿
'ai'yue'san 爱乐散
'chuan'kong 穿孔
'dian'hu 佃户
'mei'ge 美割
'san'jiao'ban 三角板
'duo'liu 多硫
'gen'jing 根颈
'nong'ye'bu'luo 农业部落
'xiu'fu'ju'zhi 溴氟菊酯
'bai'tai'si 拜太斯
'liang'tong 量筒
'ji'xie'hua'zai'pei 机械化栽培
'chu'fang 处方
'gu'ding'mo'xing 固定模型
'nu'li'shi'jian 努力实践
'cai'ming 菜螟
'yin'du'gu'ming 印度谷螟
'mu'yi'gong'cheng'xue'yuan 牧医工程学院
'chu'dong'xuan'chuan'che 出动宣传车
'sen'lin'jing'ying 森林经营
'chao'di'wen'bao'cun 超低温保存
'chen'ye'hua 陈业华
'fu'ni'chong 负泥虫
'jiao'shen 较深
'xiang'yun 祥云
'pan'zhi'hua 攀枝花
'guang'zhao'qiang'du 光照强度
'ji'jie'bao'gong 季节包工
'chang'jiang'zhong'shang'you 长江中上游
'si'ge'hao 四个好
'cun'rong 存熔
'nong'ye'jing'ji'xue 农业经济学
'tuo'la'ji'shi'jian'li'yong'lv 拖拉机时间利用率
'bian'ji'xiao'ying 边际效应
'zhi'shi'jing'shen 指示精神
'ping'ban 平板
'rou'dou'kou 肉豆蔻
'gong'zuo'ren'yuan 工作人员
'yi'fei'zhi 一费制
'ying'su 罂粟
'chang'chun'teng 常春藤
'tuo'pei'ke 托佩克
'bi'li 比例
'jia'ban'lin 甲拌磷
'leng'shan 冷杉
'jia'yan'xiao'lv'ye'chan 假眼小绿叶蝉
'lu'bian'shi 路边石
'lu'zhang 路障
'pen'hu 喷壶
'tong'zhi'ji 铜制剂
'xiao'li'zhong 小粒种
'xian'chong'bing 线虫病
'you'liang 优良
'bao'zhuang'jiao'dai 包装胶带
'wen'ke'xing 瘟克星
'she'hui'chan'pin'ping'heng'biao 社会产品平衡表
'sheng'si'te 圣斯特
'jing'ke'cao'neng 精克草能
'miao'ti 苗体
'ben'sai'qing 苯噻清
'shu'shao 树梢
'cun'min'xiao'zu 村民小组
'gao'you 高油
'hui'yi 会议
'gan'bu'zhi'gong'dui'wu 干部职工队伍
'ren'gong'qi'hou'shi 人工气候室
'ci'ma 雌马
'zheng'fu'zu'zhang 正副组长
'mo'fen'ji 磨粉机
'nei'qiang'su'zhi 内强素质
'sun'zuo'huan 孙作环
'zeng'jia 增钾
'bing'huan'zuo 丙环唑
'jie'jue 孑孓
'jian'zhu 箭猪
'ming'te'you 名特优
'gui'hai 桂海
'zheng'liu'fu 蒸馏釜
'nong'ye'ji'xie'hua'zong'he'fu'wu'zhong'xin 农业机械化综合服务中心
'jie'dui'bang'fu 结对帮扶
'zhou'qin'yun 周勤云
'shang'yang 上洋
'xin'wen'guan'zhi 新闻管制
'xiong'feng 雄蜂
'gen'ju'ge'ren'zi'wo'dui'zhao'jian'cha 根据个人自我对照检查
'da'men 大门
'jian'ce'dian 监测点
'hui'he'dian 汇合点
'tu'you'an 屠莠胺
'gao'du'zhong'shi 高度重视
'tai'xian 苔藓
'shou'zai 手栽
'lu'mian'xia'zhai 路面狭窄
'song'chi 松弛
'guang'chu 广锄
'lv'niao'sha 氯脲杀
'pian'xiang'guan 偏相关
'chang'chuan'mei'su 长川霉素
'dian'feng'shan 电风扇
'yu'ji'chan'liang 预计产量
'sang'chi'xiu'bing 桑赤锈病
'yu'mei'ying'ku'bing 育霉颖枯病
'pao'xian 抛闲
'dou'you 豆友
'you'mu'shu 柚木树
'ba'du'lin 巴毒磷
'ben'ding'xi 苯丁烯
'jun'ken 军垦
'er'qi'nian 二七年
'yi'e'long 异恶隆
'zhen'tan'pian 侦探片
'ding'ying 定影
'han'you'zi'ren 含油子仁
'za'jiao'dao 杂交稻
'zheng'que'ling'dao 正确领导
