'a'luo'jin 阿罗津
'he'guo'li 禾果利
'he'ke 禾克
'he'nai'si 禾耐斯
'he'nong'si 禾农思
'he'sha'wei 合杀威
'he'sui'ning 禾穗宁
'he'wei 禾畏
'hei'hu 黑虎
'hei'tu'bao 黑土宝
'hong'hai'cong 红海葱
'hong'huo 红火
'hong'yu 宏裕
'hong'yu'le 宏裕乐
'hong'yu'ling 宏裕灵
'hong'yu'xing 宏裕星
'hu'jiao'jian 胡椒硷
'hu'wei 虎威
'huan'bing'jin 环丙津
'huan'cao'long 环草隆
'huan'cao'te 环草特
'huan'ju'zhi 环菊酯
'huan'jun'an 环菌胺
'huan'qiang'man 环羟螨
'huan'qin'tong 环嗪酮
'huan'xi 环烯
'huan'xiu'long 环秀隆
'huan'zuo'chun 环唑醇
'huang'ben'jing 磺苯腈
'huang'cao'fu 黄草伏
'huang'cao'lin 磺草磷
'huang'cao'ling 磺草灵
'huang'cao'tong 磺草酮
'huang'jun'wei 磺菌威
'huang'le'ling 磺乐灵
'huang'xi'lin 磺吸磷
'hui'cao 毁草
'hui'dou'ke 汇豆克
'hui'er 惠尔
'hui'hao'su 茴蒿素
'hun'mie'wei 混灭威
'hun'sha'wei 混杀威
'huo'chu 火锄
'ji'dong'su 激动素
'ji'sai'zuo 几噻唑
'ji'zuo'chun 己唑醇
'jia'ban'lin 甲拌磷
'jia'cao'an 甲草胺
'jia'cao'mi 甲草醚
'jia'cao'qin 甲草嗪
'jia'fu'lin 甲氟磷
'jia'huang'long 甲黄隆
'jia'huang'wei 甲磺威
'jia'jun'li 甲菌利
'jia'liu'lin 甲硫磷
'jia'mei'ling 甲霉灵
'jia'nai'wei 甲萘威
'jia'pai'ding 甲哌啶
'jia'quan 甲醛
'jia'rui'nong 加瑞农
'jia'shuang'ling 甲霜灵
'jia'wei'yan 甲维盐
'jia'yang'long 甲氧隆
'jia'ying'lin 家蝇磷
'jian'le'ling 碱乐灵
'jiao'mei'su 胶霉素
'jie'cao'an 解草安
'jie'cao'ding 解草啶
'jie'cao'tong 解草酮
'jie'cao'wan 解草烷
'jie'cao'xi 解草烯
'jie'cao'zuo 解草唑
'jie'he'jin'piao 洁禾金飘
'jie'le 洁乐
'jie'ma'yi'huan'zuo 捷马乙环唑
'jin'a 金阿
'jin'ao'lin 津奥啉
'jin'dou'er 金都尔
'jin'feng'yi 金封异
'jin'he 金禾
'jin'he'cao'xing 金禾草星
'jin'kuo'mie'ling 金扩灭灵
'jin'lian'dao 金镰刀
'jin'te 金特
'jin'xiu'bai'le 金秀佰乐
'jing'biao 精骠
'jing'han'zuo'feng 精旱作丰
'jing'he'cao'ke 精禾草克
'jing'jun'zuo 腈菌唑
'jing'ke'cao'neng 精克草能
'jing'long 精隆
'jing'sha'wei 腈杀威
'jing'wen'sha'dei 精稳杀得
'jing'zhong'ling 净种灵
'jiu'bao'jing'ru'you 韭保净乳油
'jiu'xiao'lin 久效磷
'jiu'xiao'wei 久效威
'jiu'xing 久星
'ju'shi'an 拒食胺
'jue'yu'lin 绝育磷
'jun'da'mie 菌达灭
'jun'he'jing 菌核净
'jun'he'li 菌核利
'ka'cao'an 卡草胺
'ka'si'ke 卡死克
'kai'huang 开荒
'kai'peng 开蓬
'kang'chong'wei 抗虫威
'kang'dao'an 抗倒胺
'kang'dao'zhi 抗倒酯
'kang'jun'zuo 糠菌唑
'kang'ku'ling 抗枯灵
'kang'ku'ning 抗枯宁
'kang'man'zuo 抗螨唑
'kang'ya'wei 抗蚜威
'kang'ying'wei 抗蝇威
'kang'you'xi 抗幼烯
'kao'shan 靠山
'ke'bai'wei 克百威
'ke'cao'an 克草胺
'ke'cao'meng 克草猛
'ke'cao'shen 克草神
'ke'jun'tong 克菌铜
'ke'ling'da 可灵达
'ke'lu 克露
'ke'man'te 克螨特
'ke'mei 克霉
'ke'mie'shu 克灭鼠
'ke'sha'de 可杀得
'ke'sha'man 克杀螨
'ke'wen'san 克瘟散
'ke'wu'zong 克芜踪
'ke'xian'dan 克线丹
'ke'xian'lin 克线磷
'kong'chong'su 控虫素
'ku'cao'long 枯草隆
'ku'chong'jing 库虫净
'ku'wei'ning 枯萎宁
'ku'wei'yan 枯萎盐
'kuai'ling 快灵
'kui'cao'suan 喹草酸
'kui'e'lin 喹恶磷
'kui'jun'tong 喹菌酮
'kui'lin'yan 喹啉盐
'kui'man'mi 喹螨醚
'kun'wo'zong 醌肟腙
'kuo'cao'qing 阔草清
'kuo'sha'ke'xing 阔莎克星
'kuo'shou 阔收
'le'guo 乐果
'le'sha'man 乐杀螨
'le'si'ben 乐斯本
'li'gu'long 利谷隆
'li'ke'chu 立克除
'li'shou 利收
'lian'ben 联苯
'lian'jing 镰净
'lian'mei'suo 链霉索
'lin'dan 林丹
'lin'hua'lv 磷化铝
'lin'hua'xin 磷化锌
'lin'liu'wei 磷硫威
'lin'xian'an 邻酰胺
'lin'ya'wei 磷亚威
'ling'da 灵达
'ling'ding'jin 另丁津
'liu'chong'wei 硫虫畏
'liu'huang 硫磺
'liu'liu'liu 六六六
'liu'lv'ben 六氯苯
'liu'lv'san 硫氯散
'liu'mi'lin 硫醚磷
'liu'qing'san 硫氰散
'liu'suan'tong 硫酸铜
'liu'xian'fu 硫酰氟
'liu'yi'cao'mie 硫乙草灭
'long'cao'te 隆草特
'long'da'na 隆大拿
'long'ke'jun 龙克菌
'luo'cao'an 落草胺
'luo'di'ou 罗地欧
'lv'ben'an'ling 氯苯胺灵
'lv'cao'ding 绿草定
'lv'da'di 绿大地
'lv'dan 氯丹
'lv'dao'ning 绿稻宁
'lv'gu'long 绿谷隆
'lv'hua'ku 氯化苦
'lv'huang'long 绿黄隆
'lv'ju'zhi 氯菊酯
'lv'liu'lin 氯硫磷
'lv'mai'long 绿麦隆
'lv'mei'su 氯霉素
'lv'sha'man 氯杀螨
'lv'shu'tong 氯鼠酮
'lv'suan'mei 氯酸镁
'lv'suan'na 氯酸钠
'lv'xiao'fen 氯硝酚
'lv'xiao'nai 氯硝萘
'lv'xiao'san 氯硝散
'lv'xiu'long 绿秀隆
'lv'ye'ning 绿叶宁
'lv'zao'an 氯藻胺
'ma'jun'wei 吗菌威
'ma'xie'te 马歇特
'mai'cao'wei 麦草畏
'mai'sui'ning 麦穗宁
'mai'xi'he 麦喜禾
'man'cao'lin 蔓草磷
'man'ke 螨克
'mao'cao'ku 茅草枯
'mao'guo 茂果
'mao'ye'ning 茂叶宁
'mei'ge 美割
'mei'jun'ling 霉菌灵
'meng'bu'yin 猛捕因
'meng'ke'lin 锰克磷
'meng'nong 猛农
'meng'sha'wei 猛杀威
'mi'cao'yan 咪草烟
'mi'cao'zhi 咪草酯
'mi'ding'chun 嘧啶醇
'mi'ding'lin 嘧啶磷
'mi'ding'wei 嘧啶威
'mi'huang'long 嘧黄隆
'mi'huang'long 醚黄隆
'mi'jun'an 嘧菌胺
'mi'jun'jing 咪菌腈
'mi'jun'niao 嘧菌脲
'mi'jun'zhi 嘧菌酯
'mi'le'er 米乐尔
'mi'man 米满
'mi'xian'an 咪鲜安
'mian'an'lin 棉安磷
'mian'geng'le 免耕乐
'mian'guo'wei 棉果威
'mian'long 棉隆
'mie'bai'ke 灭百可
'mie'cao'di 灭草敌
'mie'cao'huan 灭草环
'mie'cao'huang 灭草荒
'mie'cao'kui 灭草喹
'mie'cao'ling 灭草灵
'mie'cao'meng 灭草猛
'mie'cao'song 灭草松
'mie'cao'yan 灭草烟
'mie'chong'ling'feng'guo 灭虫灵丰果
'mie'chong'wei 灭虫威
'mie'chu'wei 灭除威
'mie'duo'wei 灭多威
'mie'er'xin 灭尔锌
'mie'hai'wei 灭害威
'mie'jun'fang 灭菌方
'mie'jun'lin 灭菌磷
'mie'jun'tong 灭菌铜
'mie'man'an 灭螨胺
'mie'man'ling 灭螨灵
'mie'man'meng 灭螨猛
'mie'man'te 灭螨特
'mie'sao'li 灭扫利
'mie'sha'wei 灭杀威
'mie'shu'an 灭鼠安
'mie'shu'jing 灭鼠腈
'mie'shu'te 灭鼠特
'mie'shu'you 灭鼠优
'mie'suo'wei 灭梭威
'mie'wen'su 灭瘟素
'mie'wen'zuo 灭瘟唑
'mie'ya'pi 灭蚜蜱
'mie'ya'song 灭蚜松
'mie'ying'an 灭蝇胺
'mie'ying'lin 灭蝇磷
'mie'you'jin 灭莠津
'mie'you'niao 灭幼脲
'mie'you'zuo 灭幼唑
'mie'zao'kun 灭藻醌
'ming'ling'wei 螟蛉畏
'mo'bi'lang 莫比朗
'mu'cao'an 牧草胺
'na'bu'jing 拿捕净
'nai'an'lin 萘氨磷
'nai'yi'suan 萘乙酸
'nei'xi'lin 内吸磷
'ni'suo'lang 尼索朗
'niu'ying'wei 牛蝇威
'nong'an'lin 农安磷
'nong'chong'wei 农虫威
'nong'da 农达
'nong'de'shi 农得时
'nong'di'le 农地乐
'nong'min'le 农民乐
'nong'niu 农牛
'nong'peng'you 农朋友
'nong'shi'you 农使友
'nong'si 农思
'nong'si'ta 农思它
'nong'wang 农旺
'nong'xiu 农休
'pa'li'chun 帕里醇
'pai'cao'dan 哌草丹
'pai'cao'lin 哌草磷
'pai'zhuang'su 哌壮素
'pao'xian 抛闲
'pen'te 喷特
'peng'sha 硼砂
'pi'shi'wei 蜱虱威
'pi'ya'wu 辟蚜雾
'pi'ying'lin 皮蝇磷
'po'di'huang'fu'cao'long 破地荒伏草隆
'pu'cao'jing 扑草净
'pu'da'sha 扑打杀
'pu'hai'yin 扑海因
'pu'jing 普净
'pu'li'ke 普力克
'pu'mie'jin 扑灭津
'pu'mie'tong 扑灭通
'pu'ri'te 普日特
'pu'shi'ling 扑虱灵
'pu'shi'te 普施特
'pu'shou'bao 普收宝
'qi'lv 七氯
'qi'lv'ben 七氯苯
'qi'tian'jing 七天净
'qian'chu 千锄
'qian'li'ma 千里马
'qian'niu'xing 牵牛星
'qiang'cao'tong 羟草酮
'qiang'jun'zuo 羟菌唑
'qiao'chu 巧锄
'qiao'shou 巧收
'qin'an'ling 嗪氨灵
'qin'cao'tong 嗪草酮
'qin'chong'niao 嗪虫脲
'qing'cao'jin 氰草津
'qing'cao'jing 氰草净
'qing'cao'qin 氰草嗪
'qing'chong'jun 青虫菌
'qing'hua'gai 氰化钙
'qing'jun'an 氰菌胺
'qing'jun'ling 青菌灵
'qing'qing'suan 氢氰酸
'qu'chong'te 驱虫特
'qu'chong'wei 驱虫威
'qu'wen'chun 驱蚊醇
'qu'wen'ling 驱蚊灵
'qu'ying'ding 驱蝇定
'que'cao'an 炔草胺
'que'cao'zhi 炔草酯
'que'he'ling 炔禾灵
'rang'chong'wei 壤虫威
'ru'lei'dan'bai'duo'tang 茹类蛋白多糖
'ru'suan 乳酸
'rui'du'mei 瑞毒霉
'rui'jin'te 锐劲特
'rui'ze'shui'ling 瑞泽水灵
'run'dou 润豆
'sai'bai'jin 赛稗津
'sai'ben'long 赛苯隆
'sai'cao'an 噻草胺
'sai'cao'tong 噻草酮
'sai'chong'quan 噻虫醛
'sai'fu'long 噻氟隆
'sai'guo 赛果
'sai'huang'long 噻黄隆
'sai'jie'yin 噻节因
'sai'jun'an 噻菌胺
'sai'jun'jing 噻菌腈
'sai'jun'ling 噻菌灵
'sai'ke 塞克
'sai'ke'jin 赛克津
'sai'ku'zuo 噻枯唑
'sai'le 赛乐
'sai'long 赛龙
'sai'man'an 噻螨胺
'sai'man'wei 噻螨威
'sai'pu 赛普
'sai'qin'tong 噻嗪酮
'sai'shu'tong 噻鼠酮
'sai'song 赛松
'san'ben'lin 三苯磷
'san'cai'mie 三菜灭
'san'ding'lin 三丁磷
'san'huan'xi 三环锡
'san'liu'lin 三硫磷
'san'zuo'chun 三唑醇
'san'zuo'lin 三唑磷
'san'zuo'tong 三唑酮
'san'zuo'xi 三唑锡
'sao'fu'te 扫茀特
'sao'huang 扫荒
'sao'man'bao 扫螨宝
'sao'man'jing 扫螨净
'sha'cao'an 杀草胺
'sha'cao'jing 杀草净
'sha'cao'kuang 杀草狂
'sha'cao'long 杀草隆
'sha'cao'qiang 杀草强
'sha'cao'wei 杀草畏
'sha'chong'dan 杀虫单
'sha'chong'huan 杀虫环
'sha'chong'long 杀虫隆
'sha'chong'mi 杀虫脒
'sha'chong'shuang 杀虫双
'sha'chong'wei 杀虫畏
'sha'du'fan 杀毒矾
'sha'kuo'jing 莎阔净
'sha'long'xi 沙隆喜
'sha'man'chun 杀螨醇
'sha'man'feng 杀螨砜
'sha'man'long 杀螨隆
'sha'man'te 杀螨特
'sha'ming'dan 杀螟丹
'sha'ming'jing 杀螟腈
'sha'ming'song 杀螟松
'sha'ming'wei 杀螟威
'sha'na'te 杀那特
'sha'pi'lin 莎蜱磷
'sha'pu'lin 杀扑磷
'sha'shu'ling 杀鼠灵
'sha'shu'mi 杀鼠迷
'sha'ta'zhang 杀它仗
'sha'xian'wei 杀线威
'sha'xian'zhi 杀线酯
'sha'xiong'ding 杀雄啶
'sha'xiong'qin 杀雄嗪
'sha'xiong'tong 杀雄酮
'shen'chu 深锄
'sheng'chan 圣铲
'sheng'chu 圣锄
'sheng'ding'lan 圣丁蓝
'sheng'jin'te 圣津特
'sheng'kang 盛康
'sheng'nai'shi 圣耐施
'sheng'nong'le 圣农乐
'sheng'nong'shi 圣农施
'sheng'nong'xiu 圣农秀
'sheng'nong'ying 圣农盈
'sheng'pu 圣普
'sheng'si'te 圣斯特
'shi'bai 使百
'shi'bao'gong 施保功
'shi'bao'ke'mi'xian'an 施保克咪鲜胺
'shi'dian'fa 施点发
'shi'gao 世高
'shi'jia'le 施佳乐
'shi'long 施隆
'shi'ta'long 使它隆
'shi'tian'pu 施田扑
'shou'le'tong 收乐通
'shu'de'ke 鼠得克
'shu'gan'fu 鼠甘伏
'shu'guo'jing 蔬果净
'shu'guo'lin 蔬果磷
'shu'li'si 鼠立死
'shu'te'ling 鼠特灵
'shu'wan 鼠完
'shu'wen'xi 薯瘟锡
'shuai'hu 帅虎
'shuang'jia'mi 双甲脒
'shuang'liu'lin 双硫磷
'shuang'lv'fen 双氯酚
'shuang'niao'qing 霜脲氰
'shuang'shu'niao 双鼠脲
'shuang'xiao'ling 双效灵
'shuang'yang'wei 双氧威
'shuang'yi'wei 双乙威
'shui'le 水乐
'shui'xing 水星
'shun'chu 顺锄
'shun'shi'qing'wu'ju'zhi 顺式氰戊菊酯
'si'man'qin 四螨嗪
'su'bao'li'cao'chu'ling 速保利草除灵
'su'da'si 速达死
'su'guo 苏果
'su'ke'ling 速克灵
'su'man'tong 速螨酮
'su'mie'lin 速灭磷
'su'mie'sha'ding 速灭杀丁
'su'mie'sha'ding'ru'you 速灭杀丁乳油
'su'mie'wei 速灭威
'suan'bao 蒜保
'suo'man'tong 羧螨酮
'suo'zhu'zuo 缩株唑
'tai'ku'suan 酞枯酸
'tan'lv'ling 碳氯灵
'tan'suan'bei 碳酸钡
'tang'cao'zhi 糖草酯
'te'bing'sen'xin 特丙森锌
'te'cao'ding 特草定
'te'cao'ke 特草克
'te'ding'jin 特丁津
'te'ding'jing 特丁净
'te'ding'tong 特丁通
'te'fu'ling 特富灵
'te'le'fen 特乐酚
