'a'ke'tai 阿克泰
'an'hui'sheng'an'qing'shi'chang'tai'hua'gong'you'xian'gong'si 安徽省安庆市常泰化工有限公司
'an'hui'sheng'an'qing'shi'hua'gong'zong'chang 安徽省安庆市化工总厂
'an'hui'sheng'an'qing'shi'zhuo'zhuang'nong'yao'you'xian'gong'si 安徽省安庆市茁壮农药有限公司
'an'hui'sheng'an'qing'yi'zhi'mei'ri'hua'you'xian'gong'si 安徽省安庆一枝梅日化有限公司
'an'hui'sheng'beng'bu'jiu'cai'luo'hua'xue'you'xian'gong'si 安徽省蚌埠九采罗化学有限公司
'an'hui'sheng'chao'hu'shi'nong'yao'hua'gong'chang 安徽省巢湖市农药化工厂
'an'hui'sheng'guang'de'xian'nong'yao'chang 安徽省广德县农药厂
'an'hui'sheng'guang'de'xian'qing'shan'wei'sheng'shi'yan'chang 安徽省广德县青山卫生实验厂
'an'hui'sheng'guo'yang'xian'hua'gong'zong'chang 安徽省涡阳县化工总厂
'an'hui'sheng'he'fei'fang'cao'ya'shua'chang 安徽省合肥芳草牙刷厂
'an'hui'sheng'he'fei'fei'yan'ri'yong'hua'gong'chang 安徽省合肥飞雁日用化工厂
'an'hui'sheng'he'fei'fu'rui'de'sheng'wu'hua'gong'chang 安徽省合肥福瑞德生物化工厂
'an'hui'sheng'he'fei'hai'ming'ri'yong'hua'gong'chang 安徽省合肥海明日用化工厂
'an'hui'sheng'he'fei'jing'xi'hua'gong'gong'si 安徽省合肥精细化工公司
'an'hui'sheng'he'fei'nong'yao'chang 安徽省合肥农药厂
'an'hui'sheng'he'fei'yi'feng'hua'gong'you'xian'gong'si 安徽省合肥益丰化工有限公司
'an'hui'sheng'he'fei'zheng'yu'gong'mao'you'xian'gong'si 安徽省合肥正宇工贸有限公司
'an'hui'sheng'heng'fa'zhong'yi'ji'chang 安徽省恒发种衣剂厂
'an'hui'sheng'hua'gong'xue'xiao'hua'gong'shi'yan'chang 安徽省化工学校化工实验厂
'an'hui'sheng'hua'gong'yan'jiu'yuan'shi'yan'gong'chang 安徽省化工研究院试验工厂
'an'hui'sheng'huai'bei'shi'nong'yao'chang 安徽省淮北市农药厂
'an'hui'sheng'huai'nan'shi'nong'yao'chang 安徽省淮南市农药厂
'an'hui'sheng'huai'yuan'xian'chang'ling'hua'gong'chang 安徽省怀远县长灵化工厂
'an'hui'sheng'huang'shan'shi'nong'ye'hua'gong'chang 安徽省黄山市农业化工厂
'an'hui'sheng'jie'shou'shi'su'ling'mie'wen'zhi'pin'chang 安徽省界首市速灵灭蚊制品厂
'an'hui'sheng'jin'jiang'nong'hua'you'xian'gong'si 安徽省锦江农化有限公司
'an'hui'sheng'li'ji'tuan'you'xian'gong'si 安徽生力集团有限公司
'an'hui'sheng'li'xin'xian'xiao'sha'yao'ji'chang 安徽省利辛县消杀药剂厂
'an'hui'sheng'ling'bi'xian'nong'yao'chang 安徽省灵璧县农药厂
'an'hui'sheng'ling'bi'xian'tong'da'hua'gong'chang 安徽省灵璧县通达化工厂
'an'hui'sheng'meng'cheng'xian'kai'yuan'ri'yong'hua'xue'pin'chang 安徽省蒙城县凯源日用化学品厂
'an'hui'sheng'ning'guo'shi'nong'yao'chang 安徽省宁国市农药厂
'an'hui'sheng'ning'guo'shi'nong'yao'hua'gong'zong'chang 安徽省宁国市农药化工总厂
'an'hui'sheng'qian'shan'xian'qiang'li'xiang'ye'ri'yong'pin'chang 安徽省潜山县强立香业日用品厂
'an'hui'sheng'qing'feng'nong'hua'you'xian'ze'ren'gong'si 安徽省庆丰农化有限责任公司
'an'hui'sheng'quan'jiao'xian'ji'min'hua'gong'chang 安徽省全椒县济民化工厂
'an'hui'sheng'quan'jiao'xian'jiao'ling'jing'xi'hua'gong'chang 安徽省全椒县椒陵精细化工厂
'an'hui'sheng'rui'te'nong'hua'you'xian'gong'si 安徽省瑞特农化有限公司
'an'hui'sheng'sheng'dan'sheng'wu'hua'gong'you'xian'gong'si 安徽省圣丹生物化工有限公司
'an'hui'sheng'si'da'nong'yao'hua'gong'you'xian'gong'si 安徽省四达农药化工有限公司
'an'hui'sheng'su'xian'nong'yao'chang 安徽省宿县农药厂
'an'hui'sheng'su'zhou'shi'heng'da'nong'yao'you'xian'gong'si 安徽省宿州市亨达农药有限公司
'an'hui'sheng'su'zhou'shi'hua'gong'chang 安徽省宿州市化工厂
'an'hui'sheng'su'zhou'shi'nong'yao'chang 安徽省宿州市农药厂
'an'hui'sheng'tai'he'xian'dong'xing'zhu'ji'you'xian'gong'si 安徽省太和县东兴助剂有限公司
'an'hui'sheng'tai'he'xian'nong'yao'chang 安徽省太和县农药厂
'an'hui'sheng'tai'hu'shui'an'wen'xiang'chang 安徽省太湖睡安蚊香厂
'an'hui'sheng'tian'chang'shi'kang'de'jing'xi'hua'gong'chang 安徽省天长市康得精细化工厂
'an'hui'sheng'tian'chang'shi'tian'xiang'jing'xi'hua'gong'chang 安徽省天长市天祥精细化工厂
'an'hui'sheng'tian'chang'shi'xian'dai'wei'sheng'yong'pin'chang 安徽省天长市现代卫生用品厂
'an'hui'sheng'tong'cheng'shi'feng'huang'xiang'ye'you'xian'gong'si 安徽省桐城市凤凰香业有限公司
'an'hui'sheng'tong'ling'fu'cheng'nong'yao'you'xian'gong'si 安徽省铜陵福成农药有限公司
'an'hui'sheng'wan'nan'ai'te'wei'sheng'yong'pin'chang 安徽省皖南爱特卫生用品厂
'an'hui'sheng'wan'xi'yi'nong'nong'hua'chang 安徽省皖西益农农化厂
'an'hui'sheng'xiao'xian'nong'yao'chang 安徽省萧县农药厂
'an'hui'sheng'yin'shan'yao'ye'you'xian'gong'si 安徽省银山药业有限公司
'an'hui'tian'heng'nong'hua'ke'ji'fa'zhan'you'xian'gong'si 安徽天恒农化科技发展有限公司
'an'hui'tong'feng'nong'yao'hua'gong'you'xian'gong'si 安徽桐丰农药化工有限公司
'an'hui'ya'hua'yi'yao'hua'gong'you'xian'gong'si 安徽亚华医药化工有限公司
'an'hui'yong'feng'nong'yao'hua'gong'you'xian'gong'si 安徽永丰农药化工有限公司
'an'hui'zheng'feng'ri'hua'you'xian'gong'si 安徽正峰日化有限公司
'an'hui'zhong'bang'sheng'wu'gong'cheng'you'xian'gong'si 安徽众邦生物工程有限公司
'an'hui'zhong'shan'hua'gong'you'xian'gong'si 安徽中山化工有限公司
'an'hui'zhong'tian'hua'gong'you'xian'gong'si 安徽中天化工有限公司
'an'ji'jia'suan'zhi 氨基甲酸酯
'an'qing'qiang'hua'yi'nong'hua'gong'you'xian'ze'ren'gong'si 安庆强华益农化工有限责任公司
'an'ye'su 桉叶素
'ao'da'li'ya'bai'di'si'you'xian'gong'si 澳大利亚拜迪斯有限公司
'ao'da'li'ya'bei'ke'an'de'wu'de'gong'si 澳大利亚贝克安德伍德公司
'ao'da'li'ya'huan'qiu'ke'ji'you'xian'gong'si 澳大利亚环球科技有限公司
'ao'da'li'ya'jia'de'shi'shi'you'gong'si 澳大利亚加德士石油公司
'ao'da'li'ya'ka'ling'dun'ha'wen'you'xian'gong'si 澳大利亚卡灵顿哈文有限公司
'ao'pu'hua'xue'you'xian'gong'si 奥普化学有限公司
'ba'man'ling 霸螨灵
'ba'si'fu 巴斯夫
'bai'bei'fei'shi 白背飞虱
'bai'bu'jian 百部碱
'bai'cao'an 稗草胺
'bai'cao'ku 百草枯
'bai'er 拜耳
'bai'er'dong'wu'bao'jian'you'xian'gong'si 拜耳动物保健有限公司
'bai'er'huan'jing'ke'xue'gong'si 拜耳环境科学公司
'bai'er'zuo'wu'ke'xue'you'xian'gong'si 拜耳作物科学有限公司
'bai'jiang'jun 白僵菌
'bai'jun'qing 百菌清
'bai'shu'ju'zhi 百树菊酯
'bai'si'gao'ke'sheng'wu'ke'ji'you'xian'gong'si 百思高科生物科技有限公司
'bai'zhi'lin 百治磷
'ban'ao'su 斑螯素
'ban'mao'su 斑蝥素
'ban'zhong'ling 拌种灵
'bao'mian'lin 保棉磷
'bei'jing'bao'li'qing'hua'gao'xin'ji'shu'gong'si 北京宝力轻化高新技术公司
'bei'jing'bei'jiao'shou'yao'chang 北京北郊兽药厂
'bei'jing'bei'nong'lv'heng'ke'ji'fa'zhan'you'xian'gong'si 北京北农绿亨科技发展有限公司
'bei'jing'bei'nong'tian'feng'nong'yao'you'xian'gong'si 北京北农天风农药有限公司
'bei'jing'bi'neng'sheng'hua'gong'cheng'you'xian'gong'si 北京碧能生化工程有限公司
'bei'jing'chen'yang'zhi'bao'zhi'ji'chang 北京晨阳植保制剂厂
'bei'jing'dong'fang'sheng'bang'sheng'wu'ji'shu'you'xian'gong'si 北京东方圣邦生物技术有限公司
'bei'jing'dong'hua'qiang'sheng'sheng'wu'ji'shu'you'xian'gong'si 北京东华强盛生物技术有限公司
'bei'jing'guang'cai'he'xiang'xiang'zhi'pin'you'xian'gong'si 北京光彩鹤香香制品有限公司
'bei'jing'guo'feng'lv'nong'sheng'wu'ji'shu'kai'fa'zhong'xin 北京国丰绿农生物技术开发中心
'bei'jing'guo'ji'qi'wu'ji'you'xian'gong'si 北京国际气雾剂有限公司
'bei'jing'hai'nong'ji'shu'yan'jiu'suo 北京海农技术研究所
'bei'jing'hua'long'xing'yu'ke'ji'fa'zhan'you'xian'gong'si 北京华龙星宇科技发展有限公司
'bei'jing'hua'rong'sheng'wu'ji'su'chang 北京华戎生物激素厂
'bei'jing'hua'tai'lao'wu'fu'wu'you'xian'gong'si 北京华泰劳务服务有限公司
'bei'jing'hua'tian'sheng'wu'ji'shu'you'xian'gong'si 北京华田生物技术有限公司
'bei'jing'hua'yang'jing'xi'hua'gong'gong'si 北京华洋精细化工公司
'bei'jing'jin'long'xiang'gong'mao'you'xian'gong'si 北京金龙翔工贸有限公司
'bei'jing'jin'ying'qing'jie'yong'pin'you'xian'gong'si 北京金鹰清洁用品有限公司
'bei'jing'jing'hua'wei'kang'hua'gong'ke'ji'fa'zhan'zhong'xin 北京京华卫康化工科技发展中心
'bei'jing'jing'wei'jian'ji'shu'fu'wu'you'xian'gong'si 北京京卫健技术服务有限公司
'bei'jing'kang'feng'ke'mao'fa'zhan'zhong'xin 北京康丰科贸发展中心
'bei'jing'lan'feng'huang'sheng'wu'ji'shu'shi'yan'zhong'xin 北京蓝凤凰生物技术实验中心
'bei'jing'lei'meng'hua'gong'you'xian'gong'si 北京雷蒙化工有限公司
'bei'jing'long'xing'ke'ji'gu'fen'you'xian'gong'si 北京龙兴科技股份有限公司
'bei'jing'lv'bai'ling'hua'xue'shi'yan'chang 北京绿百灵化学实验厂
'bei'jing'lv'bao'sheng'wu'gong'cheng'ji'shu'kai'fa'gong'si 北京绿保生物工程技术开发公司
'bei'jing'lv'tu'di'sheng'hua'zhi'ji'you'xian'gong'si 北京绿土地生化制剂有限公司
'bei'jing'lv'ye'nong'ye'chong'cha'ji'shu'kai'fa'gong'si 北京绿野农业重茬技术开发公司
'bei'jing'lv'ye'shi'ji'ri'hua'yong'pin'you'xian'gong'si 北京绿叶世纪日化用品有限公司
'bei'jing'mei'er'te'jian'cai'you'xian'gong'si 北京美尔特建材有限公司
'bei'jing'pu'lai'ke'si'shi'yong'qi'ti'you'xian'gong'si 北京普莱克斯实用气体有限公司
'bei'jing'pu'zhou'ke'ji'you'xian'gong'si 北京普洲科技有限公司
'bei'jing'ren'yi'sheng'wu'gong'cheng'gong'si 北京人怡生物工程公司
'bei'jing'sai'nuo'wei'ye'ke'ji'fa'zhan'you'xian'gong'si 北京赛诺伟业科技发展有限公司
'bei'jing'san'qi'ji'shu'kai'fa'you'xian'gong'si 北京三奇技术开发有限公司
'bei'jing'shi'ai'mu'sheng'ming'ke'xue'ji'shu'gong'si 北京市埃姆生命科学技术公司
'bei'jing'shi'bai'meng'xing'ke'mao'you'xian'ze'ren'gong'si 北京市百盟兴科贸有限责任公司
'bei'jing'shi'chang'ping'zhong'sheng'wei'sheng'wu'shi'yan'chang 北京市昌平中生微生物试验厂
'bei'jing'shi'chao'yang'qu'li'hua'shu'yao'chang 北京市朝阳区利华鼠药厂
'bei'jing'shi'chao'yang'qu'xu'dong'hua'gong'chang 北京市朝阳区旭东化工厂
'bei'jing'shi'da'xing'xian'si'hai'lian'ying'shuang'xiao'ling'chang 北京市大兴县四海联营双效灵厂
'bei'jing'shi'dong'wang'nong'yao'chang 北京市东旺农药厂
'bei'jing'shi'fang'shan'qu'dong'fang'nong'yao'chang 北京市房山区东方农药厂
'bei'jing'shi'feng'tai'san'lian'yi'xi'li'hua'gong'chang 北京市丰台三联乙烯利化工厂
'bei'jing'shi'hai'dian'qu'bei'hai'xin'ji'shu'gong'si 北京市海淀区北海新技术公司
'bei'jing'shi'hua'er'xin'gong'mao'fa'zhan'zhong'xin 北京市华尔新工贸发展中心
'bei'jing'shi'jin'tai'chuang'ye'ke'ji'you'xian'gong'si 北京市金泰创业科技有限公司
'bei'jing'shi'jing'gang'sheng'wu'zhi'pin'you'xian'gong'si 北京市京港生物制品有限公司
'bei'jing'shi'jing'tong'ri'yong'hua'xue'chang 北京市京通日用化学厂
'bei'jing'shi'long'cheng'hua'gong'you'xian'gong'si 北京市龙城化工有限公司
'bei'jing'shi'mi'yun'xian'wei'sheng'wu'shi'yan'zhan 北京市密云县微生物实验站
'bei'jing'shi'rong'kun'ji'shu'kai'fa'you'xian'gong'si 北京市荣昆技术开发有限公司
'bei'jing'shi'rui'li'chang'jing'xi'hua'gong'chang 北京市瑞利昌精细化工厂
'bei'jing'shi'shun'feng'nong'ye'xin'ji'shu'gong'si 北京市顺丰农业新技术公司
'bei'jing'shi'shun'yi'xian'xing'yuan'gao'zhi'mo'chang 北京市顺义县兴源高脂膜厂
'bei'jing'shi'si'pu'hua'gong'gong'si 北京市斯普化工公司
'bei'jing'shi'tian'shu'hua'gong'ji'shu'yan'jiu'suo 北京市天舒化工技术研究所
'bei'jing'shi'wei'jia'ri'hua'you'xian'ze'ren'gong'si 北京市维家日化有限责任公司
'bei'jing'shi'wei'sheng'xiao'du'cai'liao'chang 北京市卫生消毒材料厂
'bei'jing'shi'xi'hong'wei'sheng'yong'pin'chang 北京市西红卫生用品厂
'bei'jing'shi'xing'dao'hua'gong'ji'shu'yan'jiu'suo 北京市星岛化工技术研究所
'bei'jing'shi'xing'hua'da'xue'xiao'ban'gong'chang 北京市兴华大学校办工厂
'bei'jing'shi'yong'chang'gao'xiao'wei'sheng'yong'pin'chang 北京市永昌高效卫生用品厂
'bei'jing'shi'yong'le'dian'you'ji'hua'gong'chang 北京市永乐店有机化工厂
'bei'jing'shuang'long'wei'ye'gong'mao'you'xian'gong'si 北京双龙伟业工贸有限公司
'bei'jing'shun'tian'jing'xi'hua'gong'you'xian'gong'si 北京顺天精细化工有限公司
'bei'jing'shun'yi'sheng'wu'nong'yao'chang 北京顺意生物农药厂
'bei'jing'si'huan'wei'sheng'yao'xie'chang 北京四环卫生药械厂
'bei'jing'su'jia'hui'feng'hua'gong'ji'shu'zi'xun'gong'si 北京苏佳惠丰化工技术咨询公司
'bei'jing'tai'ming'ke'xin'ji'shu'you'xian'ze'ren'gong'si 北京泰铭科信技术有限责任公司
'bei'jing'tai'wei'nong'ye'hua'xue'pin'you'xian'gong'si 北京泰维农业化学品有限公司
'bei'jing'tian'qing'hua'gong'you'xian'ze'ren'gong'si 北京天擎化工有限责任公司
'bei'jing'tian'qing'yuan'ke'ji'you'xian'gong'si 北京天青源科技有限公司
'bei'jing'tian'ran'xiang'zhuang'pin'yan'jiu'suo 北京天然香妆品研究所
'bei'jing'tian'shan'hei'ma'sheng'wu'ji'shu'you'xian'gong'si 北京天山黑马生物技术有限公司
'bei'jing'wan'hui'sheng'wu'gong'cheng'you'xian'ze'ren'gong'si 北京万惠生物工程有限责任公司
'bei'jing'wan'ning'chu'yao'yan'zhi'kai'fa'you'xian'gong'si 北京万宁畜药研制开发有限公司
'bei'jing'wo'te'rui'er'ke'ji'fa'zhan'you'xian'gong'si 北京沃特瑞尔科技发展有限公司
'bei'jing'xin'si'huan'xiao'du'ji'shu'kai'fa'zhong'xin 北京鑫四环消毒技术开发中心
'bei'jing'ya'ge'nong'sheng'wu'yao'ye'you'xian'gong'si 北京亚戈农生物药业有限公司
'bei'jing'ya'zhi'sheng'hua'ji'shu'yan'jiu'suo 北京雅智生化技术研究所
'bei'jing'yan'hua'yong'le'nong'yao'you'xian'gong'si 北京燕化永乐农药有限公司
'bei'jing'yuan'jing'zhi'guan'you'xian'gong'si 北京元晶制罐有限公司
'bei'jing'yun'gang'sheng'wu'hua'gong'you'xian'gong'si 北京云港生物化工有限公司
'bei'jing'zhi'cheng'ke'ji'fa'zhan'you'xian'gong'si 北京挚诚科技发展有限公司
'bei'jing'zhong'ke'lao'zhuan'jia'ke'ji'yan'jiu'suo 北京中科老专家科技研究所
'bei'jing'zhong'long'hua'gong'you'xian'gong'si 北京中龙化工有限公司
'bei'jing'zhong'nong'ke'mei'hua'gong'you'xian'gong'si 北京中农科美化工有限公司
'bei'jing'zhong'nong'yan'chuang'gao'ke'ji'you'xian'gong'si 北京中农研创高科技有限公司
'bei'jing'zhong'zhi'ke'hua'nong'ye'ji'shu'you'xian'gong'si 北京中植科华农业技术有限公司
'bei'jing'zhuo'mu'niao'xin'ji'shu'fa'zhan'gong'si 北京啄木鸟新技术发展公司
'bei'liu'lin 倍硫磷
'ben'an'ling 苯胺灵
'ben'cao'mi 苯草醚
'ben'cao'mie 苯草灭
'ben'da'song 苯达松
'ben'ding'xi 苯丁烯
'ben'ding'xi 苯丁锡
'ben'huang'long 苯磺隆
'ben'jia'xian'niao 苯甲酰脲
'ben'liu'ling 苯硫灵
'ben'liu'wei 苯硫威
'ben'man'mi 苯螨醚
'ben'man'te 苯螨特
'ben'mi'jia'huan'zuo 苯醚甲环唑
'ben'mi'ju'zhi 苯醚菊酯
'ben'mi'jun'zhi 苯醚菌酯
'ben'xian'jun'an 苯酰菌胺
'ben'xian'lin 苯线磷
'ben'xiu'ding 苯锈啶
'ben'yang'jun'zhi 苯氧菌酯
'ben'yang'wei 苯氧威
'ben'zha'xiu'an 苯扎溴胺
'bi'cao'an 吡草胺
'bi'cao'tong 吡草酮
'bi'chong'lin 吡虫啉
'bi'fu'ge'jun'su 吡弗咯菌素
'bi'fu'he'cao'ling 吡氟禾草灵
'bi'fu'yi'cao'ling 吡氟乙草灵
'bi'li'shi'kang'nai'xin'nong'hua'gong'si 比利时康乃馨农化公司
'bi'man'an 吡满胺
'bi'man'an 吡螨胺
'bi'man'li'ke 吡螨利克
'bi'man'niao 吡螨脲
'bi'mi'huang'long 吡嘧磺隆
'bi'mi'lin 吡嘧磷
'bi'wen'tong 避蚊酮
'bi'ya'tong 吡呀酮
'bi'ya'tong 吡蚜酮
'bi'zuo'mi'ju'zhi 吡唑醚菊酯
'bi'zuo'te 吡唑特
'bian'cao'an 苄草胺
'bian'cao'dan 苄草丹
'bian'cao'zuo 苄草唑
'bian'fu'ju'zhi 苄呋菊酯
'bian'man'mi 苄螨醚
'bian'mi'huang'long 苄嘧磺隆
'bian'tai'mi 苄酞醚
'bing'an'lin 丙胺磷
'bing'cao'an 丙草胺
'bing'huan'zuo 丙环唑
'bing'liu'duo'jun'ling 丙硫多菌灵
'bing'liu'ke'bai'wei 丙硫克百威
'bing'lv 丙氯
'bing'man'qing 丙螨氰
'bing'qing'xiao 病氰硝
'bing'sen'xin 丙森锌
'bing'wan'mi 丙烷脒
'bing'xiu'lin 丙溴磷
'bo'bai'xian'tian'di'he'nong'yao'chang 博白县天地和农药厂
'bo'er'duo'ye 波尔多液
'cao'gan'lin 草甘膦
'chai'you 柴油
'chang'chuan'mei'su 长川霉素
'chang'de'shuang'he'ri'hua'you'xian'gong'si 常德双鹤日化有限公司
'chang'zhou'kang'mei'hua'gong'you'xian'gong'si 常州康美化工有限公司
'chong'man'jing 虫螨腈
'chong'man'lin 虫螨磷
'chong'man'ling 虫螨灵
'chong'man'wei 虫螨畏
'chong'xian'jing 虫酰肼
'chong'xian'lin 虫线磷
'chu'cao'dan 除草丹
'chu'chong'ju'su 除虫菊素
'chu'chong'niao 除虫脲
'chu'chong'wei 除虫威
'chun'lei'mei'su 春雷霉素
'da'cao'te 哒草特
'da'jing'liu'lin 哒净硫磷
'da'jing'song 哒净松
'da'jun'qing 哒菌清
'da'man'jin 达螨尽
'da'man'ling 哒螨灵
'da'man'tong 哒螨酮
'da'ming 大螟
'da'qin'liu'lin 哒嗪硫磷
'da'suan'su 大蒜素
'da'you'tong 哒幼酮
'da'zhong'hua'xue'zhu'shi'hui'she 大冢化学株式会社
'dai'sen'an 代森铵
'dai'sen'lian 代森联
'dai'sen'meng 代森锰
'dai'sen'meng'xin 代森锰锌
'dai'sen'xin 代森锌
'dan'jia'mi 单甲脒
'dao'bao'chong 稻苞虫
'dao'fei'shi 稻飞虱
'dao'feng'san 稻丰散
'dao'hei'chun 稻黑蝽
'dao'huang 稻蝗
'dao'ji'ma 稻蓟马
'dao'li'hei'fen'bing 稻粒黑粉病
'dao'ming'ling 稻螟蛉
'dao'qu'bing 稻曲病
'dao'shi'gen'ye'jia 稻食根叶甲
'dao'wen'bing 稻瘟病
'dao'wen'jing 稻瘟净
'dao'wen'ling 稻瘟灵
'dao'xiang'jia 稻象甲
'dao'yan'die 盗眼蝶
'dao'yan'die 稻眼蝶
'dao'ye'hei'fen'bing 稻叶黑粉病
'dao'zong'juan'ye'ming 稻纵卷叶螟
'de'guo'ai'ge'fu'gong'si 德国艾格福公司
'de'guo'ba'si'fu'gu'fen'you'xian'gong'si 德国巴斯夫股份有限公司
'de'guo'ba'si'fu'nong'ye'you'xian'gong'si 德国巴斯夫农业有限公司
'de'guo'bai'er'zuo'wu'ke'xue'gong'si 德国拜耳作物科学公司
'de'guo'de'di'gai'shi'gong'si 德国德迪盖世公司
'de'guo'sai'tuo'you'xian'ze'ren'gong'si 德国赛拓有限责任公司
'de'guo'you'le'li'nong'hua'you'xian'gong'si 德国优乐利农化有限公司
'de'zhou'xue'bao'hua'xue'you'xian'gong'si 德州雪豹化学有限公司
'di'an'ling 敌胺灵
'di'bai'chong 敌百虫
'di'cao'an 敌草胺
'di'cao'long 敌草隆
'di'chong'liu'lin 地虫硫磷
'di'di'wei 敌敌畏
'di'huang'na 敌磺钠
'di'jun'ling 敌菌灵
'di'shi'ji 狄氏剂
'di'shu'na 敌鼠钠
'di'wen'lin 敌瘟磷
'di'yi'ya'bao'gan'jun 地衣芽孢杆菌
'ding'ban'wo 啶斑肟
'ding'ben'liu'lin 丁苯硫磷
'ding'bi'ma'lin 丁吡吗啉
'ding'cao'an 丁草胺
'ding'cao'te 丁草特
'ding'chong'mi 啶虫脒
'ding'fu'man'zhi 丁氟螨酯
'ding'jun'e'zuo 啶菌噁唑
'ding'liu'ke'bai'wei 丁硫克百威
'ding'mi'huang'long 啶嘧磺隆
'ding'mi'niao 丁醚脲
'ding'sai'long 丁噻隆
'ding'tong'wei 丁酮威
'ding'xi'fu'chong'jing 丁烯氟虫腈
'ding'yang'jun'zhi 啶氧菌酯
'dong'fang'run'bo'nong'hua'you'xian'gong'si 东方润博农化有限公司
'du'bang 杜邦
'du'chong'wei 毒虫威
'du'fu'lin 毒氟磷
'du'sha'fen 毒杀芬
'du'si'pi 毒死蜱
'dui'liu'lin 对硫磷
'dui'lv'er'jia'ben'fen 对氯二甲苯酚
'duo'jun'ling 多菌灵
'duo'kang'mei'su 多抗霉素
'duo'liu'hua'bei 多硫化钡
'duo'ming'dan 多螟丹
'duo'sha'mei'su 多杀霉素
'duo'xiao'mei'su 多效霉素
'duo'xiu'fu 多溴福
'e'cao'ling 噁草灵
'e'cao'mi 恶草醚
'e'cao'tong 噁草酮
'e'chong'tong 恶虫酮
'e'chong'wei 噁虫威
'e'chong'wei 恶虫威
'e'geng'cao'wan 噁庚草烷
'e'shuang'ling 噁霜灵
'e'shuang'ling 恶霜灵
'e'ying'jing 蛾蝇腈
'e'zuo'jun'tong 噁唑菌酮
'er'ben'an 二苯胺
'er'hua'ming 二化螟
'er'liu'qing'ji'jia'wan 二硫氰基甲烷
'er'lv'ben'long 二氯苯隆
'er'lv'ben'mi'ju'zhi 二氯苯醚菊酯
'er'lv'kui'lin'suan 二氯喹啉酸
'er'lv'kui'lin'suan 二氯喹磷酸
'er'mei'jun 耳霉菌
'er'qin'lin 二嗪磷
'er'xiu'lin 二溴磷
'fa'guo'luo'na'pu'lang'ke'gong'si 法国罗纳普朗克公司
'fa'guo'zhuang'li'guo'ji'ji'tuan'you'xian'gong'si 法国庄丽国际集团有限公司
'fa'liu'lin 发硫磷
'fa'zhan'you'xian'gong'si 发展有限公司
'fan'qing'qi 返青期
'fen'nie'qi 分蘖期
'feng'ban'lin 砜拌磷
'fo'shan'shi'xiao'guang'nong'hua'mao'yi'you'xian'gong'si 佛山市晓光农化贸易有限公司
'fu'an'qing'ju'zhi 氟胺氰菊酯
'fu'ben'niao 氟苯脲
'fu'bi'jun'an 氟吡菌胺
'fu'bi'yi'he'cao'ling 氟吡乙禾草灵
'fu'biao'jia'an'ji'a'wei'jun'su 富表甲氨基阿维菌素
'fu'bing'ju'zhi 氟丙菊酯
'fu'cao'an 伏草胺
'fu'cao'huang 呋草黄
'fu'chong'an 氟虫胺
'fu'chong'jing 氟虫腈
'fu'chong'long 伏虫隆
