'a'er'tai'gou'wa'hua 阿尔泰狗哇花
'bai'jiu 白鸠
'bai'juan'bing 白绢病
'bai'jun'qing 百菌清
'bai'ke 白壳
'bai'ke'quan'shu 百科全书
'bai'lan'di 白兰地
'bai'lan'hua 白兰花
'bai'li 白梨
'bai'li'xiang 百里香
'bai'li'zhong 百粒重
'bai'mai'nian'chong 白脉粘虫
'bai'mei'bing 白霉病
'bai'mi 白米
'bai'ming 白螟
'bai'mu 百亩
'bai'nang'suo'e 白囊蓑蛾
'bai'niao 百鸟
'bai'pi 白皮
'bai'pi'dou 白皮豆
'bai'pi'song 白皮松
'bai'pu'tao'jiu 白葡萄酒
'bai'qian'wan 百千万
'bai'qu'mei'bing 白曲霉病
'bai'ri'ke 百日咳
'bai'se 白色
'bai'shi 白虱
'bai'shu 柏树
'bai'tou'weng 白头翁
'bai'tou'ying 白头鹰
'bai'wen'yu'wang'bing 白纹羽网病
'bai'wu'jiao 拜物教
'bai'xin 白心
'bai'xing'hua'jin'gui 白星花金龟
'bai'xiu'bing 白锈病
'bai'xue'bing 败血病
'bai'xue'bing 白血病
'bai'ya 摆芽
'bai'yang 摆秧
'bai'yang 白杨
'bai'ye'bing 白叶病
'bai'ye'chuang 百叶窗
'bai'ye'ku'bing 白叶枯病
'bai'yi 白蚁
'bai'yu'e 白羽蛾
'bai'zhong 摆种
'bai'zhu 百株
'bai'zi 摆籽
'bai'zi 白子
'ban'bei'an'yuan'chun 斑背安缘蝽
'ban'bing 斑病
'ban'bo'bing'du'bing 斑驳病毒病
'ban'cheng'pin 半成品
'ban'dao 搬到
'ban'dao 绊倒
'ban'dian 斑点
'ban'dian'bing 斑点病
'ban'dong'xing 半冬性
'ban'gong'da'lou 办公大楼
'ban'gong'shi'ren'yuan 办公室人员
'ban'huo 拌和
'ban'ji'sheng'wu 半寄生物
'ban'kai'fang'shi'peng 半开放式棚
'ban'ku'bing 斑枯病
'ban'kuai 版块
'ban'li'shu 板栗树
'ban'li'yuan 板栗园
'ban'lin'li 斑林狸
'ban'ma 斑马
'ban'ming 斑螟
'ban'nai'han'shu'cai 半耐寒蔬菜
'ban'nian 半年
'ban'qian'ying 斑潜蝇
'ban'qiao 板桥
'ban'ri'gong'zuo 半日工作
'ban'shan 半山
'ban'shan'qu 半山区
'ban'shen'bu'sui 半身不遂
'ban'tong'bao'jiao'pei 半同胞交配
'ban'wei'ru 半喂入
'ban'xi'tu 拌细土
'ban'xia 半夏
'ban'xu'chun 斑须蝽
'ban'xuan'gua'shi'nong'ju 半悬挂式农具
'ban'zai 板栽
'ban'zhen'shang'han 斑疹伤寒
'ban'zhong 拌种
'ban'zhong'ji 拌种机
'ban'zhu 版主
'ban'zhu'ren 办主任
'ban'zhu'ren 班主任
'ban'zi 扳子
'ban'zi 班子
'bang'fu 帮扶
'bang'man 绑蔓
'bao'chi'lv 保持率
'bao'chi'xi 保持系
'bao'chi'ye'ming 薄翅野螟
'bao'chun'hua 报春花
'bao'die 暴跌
'bao'fei 保肥
'bao'fei 报费
'bao'feng 保丰
'bao'feng'yu 暴风雨
'bao'gao'ren 报告人
'bao'gao'shu 报告书
'bao'gen 保根
'bao'gu'gan 包谷秆
'bao'guang'biao 曝光表
'bao'guang'bu'zu 曝光不足
'bao'guang'guo'du 曝光过度
'bao'guang'shi'jian 曝光时间
'bao'hai 雹害
'bao'he'shi'du 饱和湿度
'bao'hu'di 保护地
'bao'hu'zhu'yi 保护主义
'bao'jia 报价
'bao'jian'hu'shi 保健护士
'bao'li'yu'mi 爆粒玉米
'bao'lie'xing 爆裂型
'bao'man'du 饱满度
'bao'nang'xian'chong'bing 胞囊线虫病
'bao'nie 保蘖
'bao'pan 报盘
'bao'pian 苞片
'bao'ping 报评
'bao'qi'chi 曝气池
'bao'shan 保山
'bao'shan'shi 保山市
'bao'shi 保湿
'bao'shi 暴食
'bao'shi'jie 保时捷
'bao'shu 苞数
'bao'shu 包数
'bao'shui 薄水
'bao'shui 保水
'bao'shui'fen'nie 薄水分蘖
'bao'shui'ji 保水剂
'bao'sui 保穗
'bao'tan 报摊
'bao'tong 保通
'bao'tong 报童
'bao'wen 报文
'bao'wen'bing 豹纹病
'bao'wen'ji 保温剂
'bao'xian'dai 保险带
'bao'xian'gang 保险杠
'bao'xian'pei'chang 保险赔偿
'bao'ye 苞叶
'bao'ye 保叶
'bao'yi 包衣
'bao'yi'zhong 包衣种
'bao'you 保优
'bao'yu 暴雨
'bao'zheng'jia'ge 保证价格
'bao'zhi'dai'shou'chu 报纸代售处
'bao'zhi'za'zhong 胞质杂种
'bao'zi 刨子
'bao'zi'gan'lan 抱子甘蓝
'bao'zi'ti 孢子体
'bao'zi'ti'zi'jiao'bu'qin'he'xi'tong 孢子体自交不亲和系统
'bei'ce 北侧
'bei'cha 北叉
'bei'chuan 北川
'bei'chuan'xian 北川县
'bei'dao 被盗
'bei'de 北的
'bei'dong'shi 被动式
'bei'fang'tan'ju'bing 北方炭疽病
'bei'hai'lv 被害率
'bei'huang 备荒
'bei'hui'gui'xian 北回归线
'bei'jian 备件
'bei'jie 北街
'bei'jing'ao'yun'hui 北京奥运会
'bei'jing'yin'yue 背景音乐
'bei'jing'you'hu'lu 北京油葫芦
'bei'ju'pian 悲剧片
'bei'ke 碑刻
'bei'mian 被面
'bei'shou'qing'lai 倍受青睐
'bei'shu 背书
'bei'tai 备胎
'bei'wang'lu 备忘录
'bei'ye 倍液
'bei'yong'lun'tai 备用轮胎
'bei'yu 北玉
'bei'zi'gu 背子谷
'bei'zi'gu'xing 背子谷型
'ben'ci 本次
'ben'guo'huo'bi 本国货币
'ben'ju 本局
'ben'piao 本票
'ben'sheng'deng 本生灯
'ben'tian 本田
'beng'tiao 蹦跳
'bi'bing'xing 避病性
'bi'bo'dang'yang 碧波荡漾
'bi'chong'lin 吡虫啉
'bi'chu 壁橱
'bi'deng 壁灯
'bi'guan'zi'shou 闭关自守
'bi'hu 壁虎
'bi'jia 毕家
'bi'jiao'ban 壁脚板
'bi'juan 闭卷
'bi'li 秕粒
'bi'li'chi 比例尺
'bi'lu 壁炉
'bi'ma 蓖麻
'bi'mi'huang'long 吡嘧磺隆
'bi'mo 毕摩
'bi'mu'ci 闭幕词
'bi'mu'hui 闭幕会
'bi'mu'shi 闭幕式
'bi'te 比特
'bi'xu'yuan'su 必需元素
'bi'xue 必学
'bi'ya'tong 吡蚜酮
'bi'ya'wu 避蚜雾
'bi'ye'lun'wen 毕业论文
'bi'ye'sheng 毕业生
'bi'ye'zheng'shu 毕业证书
'bi'yi 避役
'bi'zi 鼻子
'bian'ci'e 扁刺蛾
'bian'dan 变淡
'bian'dao 便道
'bian'deng 边灯
'bian'gan'cao 扁秆草
'bian'gou 边沟
'bian'hong 变红
'bian'huang 变黄
'bian'ji'xiao'ying 边际效应
'bian'jiao'fei'shi 扁角飞虱
'bian'jiao'jing'tou 变焦镜头
'bian'lv 变绿
'bian'ma'qi 编码器
'bian'ma'yuan 编码员
'bian'mi'huang'long 苄嘧磺隆
'bian'nong 变浓
'bian'qing 变青
'bian'se'long 变色龙
'bian'su'gan 变速杆
'bian'su'xiang 变速箱
'bian'tao 扁桃
'bian'tao'xian 扁桃腺
'bian'xing 变性
'bian'ye'bing 变叶病
'bian'yi'cheng'xu 编译程序
'bian'yi'sui 变异穗
'bian'yi'xi'shu 变异系数
'bian'yi'zhong'xin 变异中心
'bian'zhi'hu'ji'sheng 扁枝槲寄生
'bian'zi 变紫
'biao'ji'ji'shu 标记技术
'biao'ji'kun'chong 标记昆虫
'biao'jue'quan 表决权
'biao'ming'dong'ji 表明动机
'biao'zhi 标识
'biao'zhi'fu 标识符
'biao'zhun'cha 标准差
'biao'zhun'jian 标准间
'bin'chuan 宾川
'bin'chuan'xian 宾川县
'bin'guan'fan'dian 宾馆饭店
'bin'jiao 鬓角
'bin'zang 殡葬
'bing'bao 冰雹
'bing'bao'zai 冰雹灾
'bing'can'zhu 病残株
'bing'chen 丙辰
'bing'chong 病虫
'bing'chong'cao 病虫草
'bing'chong'cao'hai 病虫草害
'bing'chong'cao'shu 病虫草鼠
'bing'chong'cao'shu'hai 病虫草鼠害
'bing'chong'hai 病虫害
'bing'chong'hai'jian'ce 病虫害监测
'bing'chong'luan 病虫卵
'bing'chong'yuan 病虫源
'bing'chong'zhu 病虫株
'bing'chuan 冰川
'bing'dou 兵豆
'bing'du'bing 病毒病
'bing'du'li'ti 病毒粒体
'bing'gan 饼干
'bing'hai 病害
'bing'hai'xun'huan 病害循环
'bing'ji'ling 冰激凌
'bing'shen 丙申
'bing'wu 丙午
'bing'xiu'lin 丙溴磷
'bing'xu 丙戌
'bing'yin 丙寅
'bing'ying 兵营
'bing'yuan'xue 病原学
'bing'zheng 病征
'bing'zhu 病株
'bing'zi 丙子
'bo'chu 剥除
'bo'dao 拨到
'bo'duan 波段
'bo'er'duo'hong'pu'tao'jiu 波尔多红葡萄酒
'bo'er'duo'ye 波尔多液
'bo'he 薄荷
'bo'hou 播后
'bo'lang'fa 波浪发
'bo'li'gong'jiang 玻璃工匠
'bo'liang 播量
'bo'luo 菠萝
'bo'mei 波美
'bo'niang'gao 播娘篙
'bo'pi 薄皮
'bo'qi 播期
'bo'qian'chu'li 播前处理
'bo'qiao 薄壳
'bo'shi 博士
'bo'shi'xue'wei 博士学位
'bo'si'ju 波斯菊
'bo'ti 钵体
'bo'tian 薄田
'bo'wu'guan 博物馆
'bo'xing 跛行
'bo'ye 剥叶
'bo'yin'yuan 播音员
'bo'zai 播栽
'bo'zhong'gou 播种沟
'bo'zhong'ji 播种机
'bo'zhong'liang 播种量
'bo'zhuang'gang 波状钢
'bo'zhuang're 波状热
'bo'zi 脖子
'bu'biao 布标
'bu'bo 补播
'bu'chang 补偿
'bu'chong 捕虫
'bu'chong'wang 捕虫网
'bu'de 不得
'bu'dong'chan 不动产
'bu'fa'da 不发达
'bu'fa'da'de 不发达的
'bu'fen'bu'yu'xing 部分不育性
'bu'gao'pai 布告牌
'bu'gu'niao 布谷鸟
'bu'he'li'jing'zheng 不合理竞争
'bu'ji 补给
'bu'ji 簿记
'bu'ji'shi 簿记师
'bu'jia 步甲
'bu'jian 不减
'bu'jiang'jia'qian 不讲价钱
'bu'jiao 补交
'bu'jin 不紧
'bu'jing'qi 不景气
'bu'jing'shen 不敬神
'bu'jing'shi 布景师
'bu'ke'yu'jian 不可预见
'bu'lan 不烂
'bu'lv'jian'nan 步履艰难
'bu'miao 补苗
'bu'nai 不耐
'bu'nai'zhu'cang 不耐贮藏
'bu'qian'cheng 不虔诚
'bu'qiang 不强
'bu'qin'he 不亲和
'bu'qiu'jin'qu 不求进取
'bu'rang'lu 不让路
'bu'shan'yu 不善于
'bu'shi 补施
'bu'shi 布施
'bu'shi'man 捕食螨
'bu'shi'xing 捕食性
'bu'tu'xu'ming 不图虚名
'bu'xin'jiao 不信教
'bu'xin'shen 不信神
'bu'yu'xi 不育系
'bu'yu'xing 不育性
'bu'zeng 不增
'bu'zhu'jin 补助金
'ca'chu 擦除
'ca'xie'tong 擦鞋童
'ca'xie'zong'dian 擦鞋棕垫
'cai'ban'qian'ying 菜斑潜蝇
'cai'chun 菜蝽
'cai'dou 菜豆
'cai'e 菜娥
'cai'fa 采伐
'cai'fan 菜贩
'cai'fang'ji'zhe 采访记者
'cai'fen'die 菜粉蝶
'cai'feng'ning 菜丰宁
'cai'feng'shi 裁缝师
'cai'hua 菜花
'cai'jian'shi 裁剪师
'cai'la 菜辣
'cai'miao 菜苗
'cai'ming 菜螟
'cai'pu'tao 采葡萄
'cai'qian'ying 彩潜蝇
'cai'qing'chong 菜青虫
'cai'se'pian 彩色片
'cai'wu'gu 财务股
'cai'wu'shi 财务室
'cai'wu'shui'shou 财务税收
'cai'xin 菜心
'cai'ye'feng 菜叶蜂
'cai'ying'wen 菜瘿蚊
'cai'yuan 菜园
'cai'zhai 采摘
'cai'zhai'qi 采摘期
'cai'zheng'bu 财政部
'cai'zheng'ju 财政局
'cai'zheng'nian'du 财政年度
'cai'zheng'xue 财政学
'cai'zheng'zeng'zhang 财政增长
'cai'zi'you 菜籽油
'can'che 餐车
'can'dou 蚕豆
'can'dou'mi 蚕豆米
'can'dou'xiang 蚕豆象
'can'e 蚕蛾
'can'lian 残联
'can'liang 参量
'can'liu'liang 残留量
'can'liu'wu 残留物
'can'shu 参数
'can'tai 蚕台
'can'tai'yu 蚕台育
'can'ting 餐厅
'can'xiao 残效
'can'xue 参学
'can'zhi 残枝
'can'zhu 残株
'cang'er 苍耳
'cang'tou'yan'que 苍头燕雀
'cang'ying 苍鹰
'cang'yuan 沧源
'cang'yuan'wa'zu'zi'zhi'xian 沧源佤族自治县
'cang'yuan'xian 沧源县
'cao'an'chu'gao 草案初稿
'cao'di'ming 草地螟
'cao'dian 草甸
'cao'dian'tu 草甸土
'cao'duo 草垛
'cao'gan'lin 草甘磷
'cao'gao'ben 草稿本
'cao'hai 草害
'cao'jian'fang 曹建方
'cao'ling 草蛉
'cao'mei 草莓
'cao'mi 糙米
'cao'mi'lv 糙米率
'cao'mian 草棉
'cao'mu'hui 草木灰
'cao'mu'xi 草木樨
'cao'ping'zai'zhi 草坪栽植
'cao'shan 草山
'cao'shan'si'liao'chu 草山饲料处
'cao'shan'si'liao'gong'zuo'zhan 草山饲料工作站
'cao'she 草蛇
'cao'suan'qing'mei'bing 草酸青霉病
'cao'wu 草乌
'cao'yuan 草原
'cao'yuan'qi'hou 草原气候
'cao'zuo'yuan 操作员
'ce'bai 侧柏
'ce'duo'shi'fu'xian'man 侧多食跗线螨
'ce'guang 测光
'ce'hui'xue 测绘学
'ce'ju'qi 测距器
'ce'ping 测评
'ce'she 测设
'ce'tu 测土
'ce'tu'pei'fang 测土配方
'ce'tu'pei'fang'shi'fei 测土配方施肥
'cha'bai 查摆
'cha'bai'xing'bing 茶白星病
'cha'ban'e 茶斑蛾
'cha'bing'bing 茶饼病
'cha'cai'xiao'nang 茶材小囊
'cha'can 茶蚕
'cha'cha'fang 杈杈房
'cha'chang'juan'ye'e 茶长卷叶蛾
'cha'cheng'ying'man 茶橙瘿螨
'cha'chi'huo 茶尺蠖
'cha'chi'ye'ban'bing 茶赤叶斑病
'cha'dao 岔道
'cha'dian 茶点
'cha'dong'ku'bing 茶胴枯病
'cha'du'e 茶毒蛾
'cha'duan'xu'man 茶短须螨
'cha'e'la'chan 茶蛾蜡蝉
'cha'er'cha'ya 茶二叉蚜
'cha'gun'ji'ma 茶棍蓟马
'cha'he 岔河
'cha'he'se'ye'ban'bing 茶褐色叶斑病
'cha'he'suo'e 茶褐蓑蛾
'cha'hei'du'e 茶黑毒蛾
'cha'hong'gen'fu'bing 茶红根腐病
'cha'hong'man 茶红螨
'cha'hong'xiu'zao'bing 茶红锈藻病
'cha'huang'ying'ji'ma 茶黄硬蓟马
'cha'hui 茶会
'cha'ji 茶几
'cha'jiao'la'jie 茶角蜡蚧
'cha'jiao'xiong'ye'jia 茶角胸叶甲
'cha'jie 插接
'cha'juan'ye'e 茶卷叶蛾
'cha'kou 茬口
'cha'kou'jin 茬口紧
'cha'li'jiao'xiang'jia 茶丽绞象甲
'cha'li'jie 茶梨蚧
'cha'lun'ban'bing 茶轮斑病
'cha'mei'bing 茶煤病
'cha'miao 插苗
'cha'miao 查苗
'cha'mu'e 茶木蛾
'cha'mu'li'jie 茶牡蛎蚧
'cha'piao'yuan 查票员
'cha'que 查缺
'cha'que'bu'lou 查缺补漏
'cha'sang'guo'zhan 茶桑果站
'cha'sang'zhan 茶桑站
'cha'se 茶色
'cha'shao'zhu'e 茶梢蛀蛾
'cha'shu 茶树
'cha'shu'dong'hai 茶树冻害
'cha'shu'gu 茶树菇
'cha'suo'e 茶蓑蛾
'cha'tian'niu 茶天牛
'cha'tou 插头
'cha'wang'bing'bing 茶网饼病
'cha'wang'chun 茶网蝽
'cha'xi'e 茶细蛾
'cha'xiao'juan'ye'e 茶小卷叶蛾
'cha'xin'gu 茶薪菇
'cha'ya 插芽
'cha'ya'ying'wen 茶芽瘿蚊
'cha'ye'bai'du'e 茶叶白毒娥
'cha'ye'chan'ye'ban'gong'shi 茶叶产业办公室
'cha'ye'ying'man 茶叶瘿螨
'cha'yi'ci'e 茶奕刺蛾
'cha'yuan 茶园
'cha'yun'wen'ye'ku'bing 茶云纹叶枯病
'cha'zao'ban'bing 茶藻斑病
'cha'zhi'hei'zhi'bing 茶枝黑痣病
'cha'zhi'lian'e 茶枝镰蛾
'cha'zi 叉子
'cha'zi'bing 茶籽饼
'cha'zuo 插座
'chai'teng 柴藤
'chai'you'ji 柴油机
'chan'cheng'pin 产成品
'chan'chu 蟾蜍
'chan'chu 产出
'chan'dan'shi 产蛋室
'chan'liang 产量
'chan'liang'di 产量低
'chan'liang'gao 产量高
'chan'liang'mo'shi 产量模式
'chan'liang'shou'yi 产量收益
'chan'xia 蝉虾
'chan'ye'ban 产业办
'chan'ye'jie'gou 产业结构
'chan'ye'zheng'ce'yu'fa'gui'chu 产业政策与法规处
'chang'bai'dun'jie 长白盾蚧
'chang'bi'yuan 长臂猿
'chang'bing'chui 长柄锤
'chang'chun 长蝽
'chang'chun'hua 长春花
'chang'chun'teng 常春藤
'chang'chun'xiang 长蝽象
'chang'gan'hua'tong 长杆话筒
'chang'gui'dao 常规稻
'chang'huan'ri 偿还日
'chang'jian 常见
'chang'jian'ji'yuan'chun 长肩棘缘蝽
'chang'jiang'dou 长豇豆
'chang'jiang'zhong'shang'you 长江中上游
'chang'jiang'zhong'xia'you 长江中下游
'chang'jiao'jing'tou 长焦镜头
'chang'jing 场景
'chang'jing'lu 长颈鹿
'chang'kai'xin'fei 敞开心扉
'chang'li'hei'gao'bing 长粒黑稿病
'chang'lv'fei'shi 长绿飞虱
'chang'ning 昌宁
'chang'ning'xian 昌宁县
'chang'pian 长片
'chang'qi'dai'kuan 长期贷款
'chang'qi'gong 长期工
'chang'qi'zhai'wu 长期债务
'chang'ri'zhao 长日照
'chang'ri'zhao'xing 长日照型
'chang'ri'zhao'zuo'wu 长日照作物
'chang'sha'fa 长沙发
'chang'shan'he'tao 长山核桃
'chang'she'ji'gou 常设机构
'chang'tu'qi'che 长途汽车
'chang'tui'shui'ye'jia 长腿水叶甲
'chang'tuo'yuan'xing 长椭圆形
'chang'wei'hui 常委会
'chang'wei'ying'wu 长尾鹦鹉
'chang'wu'hui 常务会
'chang'wu'wei'yuan'hui 常务委员会
'chang'wu'wei'yuan'hui'wei'yuan 常务委员会委员
'chang'xiao 长效
'chang'xu'juan'e 长须卷蛾
'chang'ya 常压
'chang'yuan'xing 长圆形
'chang'zhai'ji'jin 偿债基金
'chang'zhu'dai'biao 常驻代表
'chao'bai 朝拜
'chao'che 超车
'chao'di'liang'pen'wu'ji 超低量喷雾机
'chao'di'rong'liang 超低容量
'chao'di'wen 超低温
'chao'di'wen'bao'cun 超低温保存
'chao'ji'dan 炒鸡蛋
'chao'ji'dao 超级稻
'chao'lin 超林
'chao'qin'yi'chuan 超亲遗传
'chao'qin'you'shi 超亲优势
'chao'qing 炒青
'chao'tian'bi 朝天鼻
'chao'tu 潮土
'che'hao'pai 车号牌
'che'liang'shi'kong 车辆失控
'che'qian'cao 车前草
'che'shen 车身
'che'zhang 车掌
'chen'ban 晨版
'chen'dian 沉淀
'chen'ji'wu 沉积物
'chen'shi 趁势
'cheng'ben'jia 成本价
'cheng'dui'chuang 成对床
'cheng'gong 呈贡
'cheng'gong'xian 呈贡县
'cheng'guo'lv 成果率
'cheng'hong'se 橙红色
'cheng'jiang 澄江
'cheng'jiang'xian 澄江县
'cheng'ma 柽麻
'cheng'miao 成苗
'cheng'pi'chu'li 成批处理
'cheng'shi'jiao'tong 城市交通
'cheng'shi'jing'cha 城市警察
'cheng'shi'ren'kou 城市人口
'cheng'shi'she'ji'shi 城市设计师
'cheng'shi'shou'xin 诚实守信
'cheng'shu'qi 成熟期
'cheng'sui 成穗
'cheng'sui'lv 成穗率
'cheng'sui'shu 成穗数
'cheng'xu'bian'zhi 程序编制
'cheng'xu'ku 程序库
'cheng'xu'she'ji 程序设计
'cheng'xu'she'ji'yuan 程序设计员
'cheng'yan'yuan'su 成盐元素
'cheng'yu 承玉
'cheng'yuan'zi'ge 成员资格
'cheng'zhong'qiang 承重墙
'cheng'zhu'qi 成株期
'chi'ai'bing 齿矮病
'chi'ban'bing 赤斑病
'chi'cha 迟茬
'chi'dao'qi'hou 赤道气候
'chi'de'guo'duo 吃得过多
'chi'fu'bing 赤腐病
'chi'huo 尺蠖
'chi'jiao 池窖
'chi'ku'bing 赤枯病
'chi'mei'bing 赤霉病
'chi'mei'qing 赤霉清
'chi'ni'gu'dao 赤拟谷盗
'chi'pa 齿耙
'chi'shi 迟施
'chi'shu 迟熟
'chi'shui'liang 持水量
'chi'wan'fan 吃晚饭
'chi'xing'bing 赤星病
'chi'xu'mang'chun 赤须盲蝽
'chi'xu'shi'jian 持续时间
'chi'yan'feng 赤眼蜂
'chi'yan'xun'wen 迟眼蕈蚊
'chi'zai 迟栽
'chi'zao'can 吃早餐
'chong'cha 重茬
'chong'die 重叠
'chong'dui 舂碓
'chong'fa 重发
'chong'fu 重复
'chong'gu'jia 重估价
'chong'ji'shan 冲积扇
'chong'ji'sheng 重寄生
'chong'ji'tu 冲积土
'chong'kou 虫口
'chong'lou 重楼
'chong'man'ke 虫螨克
'chong'qi 充气
'chong'qing 虫情
'chong'qing'diao'cha 虫情调查
'chong'tian'la 冲天辣
'chong'yuan 虫源
'chong'zi 冲子
'chou'sheng 抽生
'chou'shui'ma'tong 抽水马桶
'chou'sui'qi 抽穗期
'chou'tai 抽苔
'chou'tai 抽薹
'chou'tai'qi 抽苔期
'chou'tai'qi 抽薹期
'chu'bei'jin 储备金
'chu'can'e 樗蚕蛾
'chu'cao'ba 除草耙
'chu'cao'cha 除草叉
'chu'cao'chu 除草锄
'chu'cao'ji 除草剂
'chu'cao'ji 除草机
'chu'chang'jia 出厂价
'chu'deng'jiao'yu 初等教育
'chu'di 锄地
'chu'fa'dian 出发点
'chu'fang 处方
'chu'gu 出菇
'chu'he'shou'ru 出和收入
'chu'hua 初花
'chu'hua'qi 初花期
'chu'ji 雏鸡
'chu'ji'chan'pin 初级产品
'chu'ji'cheng'fen 初级成分
'chu'ji'jie'duan 初级阶段
'chu'ji'ling'hun 触及灵魂
'chu'jing 楚粳
'chu'jing'xiang 楚粳香
'chu'jing'you 楚粳优
'chu'ju 雏菊
'chu'kou'shang 出口商
'chu'lan 畜栏
'chu'li 处理
'chu'li'bu'jian 处理部件
'chu'mai 楚麦
'chu'miao'lv 出苗率
'chu'nian 初年
'chu'ping 初评
'chu'qin 畜禽
'chu'qin'chan'ye 畜禽产业
'chu'qin'fen 畜禽粪
'chu'qin'ran 初侵染
'chu'rang'jin 出让金
'chu'ren'ji'zhe 初任记者
'chu'ru'kou 出入口
'chu'sheng'lv 出生率
'chu'shu 处暑
'chu'xian'jia'gu 除险加固
'chu'xiong 楚雄
'chu'xiong'bao 楚雄报
'chu'xiong'dian'shi'tai 楚雄电视台
'chu'xiong'fen'hui'chang 楚雄分会场
'chu'xiong'ri'bao 楚雄日报
'chu'xiong'ri'bao'she 楚雄日报社
'chu'xiong'shi 楚雄市
'chu'xiong'yi'zu'zi'zhi'zhou 楚雄彝族自治州
'chu'xiong'zhou 楚雄州
'chu'xiong'zhou'guang'bo'dian'tai 楚雄州广播电台
'chu'ya 出芽
'chu'yun 储运
'chu'zhang 处长
'chu'zhuang 储装
'chu'zu'che 出租车
'chu'zu'che'si'ji 出租车司机
'chu'zu'qi'che 出租汽车
'chuan'bo 传播
'chuan'cheng 传承
'chuan'da'wen'jian 传达文件
'chuan'da'wen'jian'jing'shen 传达文件精神
'chuan'dong'zhou 传动轴
'chuan'gan'qi 传感器
'chuan'hua 串花
'chuan'kong 穿孔
'chuan'kong'ji 穿孔机
'chuan'kong'ka'pian 穿孔卡片
'chuan'kong'zhi'dai 穿孔纸带
'chuan'lian'su 川楝素
'chuan'neng'xian'mi'du 传能线密度
'chuan'shan'jia 穿山甲
'chuan'shang'jiao'huo'jia 船上交货价
'chuan'wan 传完
'chuan'xin'lian 穿心莲
'chuan'xing'de 串行的
'chuan'you 川油
'chuan'yue 穿越
'chuang'ban'ren 创办人
'chuang'ban'zi'ben 创办资本
'chuang'dan 床单
'chuang'jia'bing 疮痂病
'chuang'tou 创投
'chuang'tou'deng 床头灯
'chuang'tu 床土
'chuang'zhao 床罩
'chui'liu 垂柳
'chui'mian'jie 吹绵蚧
'chui'shi'fen'sui'ji 锤式粉碎机
'chui'xiang 吹响
'chui'zhe 吹着
'chun'bo 春播
'chun'bo'zuo'wu 春播作物
'chun'cheng 春城
'chun'cheng'wan'bao 春城晚报
'chun'chi'huo 春尺蠖
'chun'chu 春初
'chun'dan 纯氮
'chun'fen 春分
'chun'hua 春化
