'ao'yuan'ling'wen'ye'chan 凹缘菱纹叶蝉
'da'ma'xiao'shi'xin'chong 大麻小食心虫
'da'ming 大螟
'da'qing'ye'chan 大青叶蝉
'da'suo'e 大蓑蛾
'da'zao'qiao'chong 大造桥虫
'dao'du'e 盗毒蛾
'dao'ji'yuan'chun 稻棘缘蝽
'dao'lv'chun 稻绿蝽
'dao'xiang'jia 稻象甲
'dian'lv'chun 点绿蝽
'ding'dian'jin'gang'zuan 鼎点金刚钻
'duan'e'fu'huang 短额负蝗
'er'ban'ye'man 二斑叶螨
'fei'zhou'lou'gu 非洲蝼蛄
'fen'wen'ye'e 粉纹夜蛾
'gan'ju'fen'shi 柑橘粉虱
'gan'lan'ye'e 甘蓝夜蛾
'gan'zhe'bai'ming 甘蔗白螟
'gan'zhe'bai'tiao'bing 甘蔗白条病
'gan'zhe'bai'ye'bing 甘蔗白叶病
'gan'zhe'bian'jiao'fei'shi 甘蔗扁角飞虱
'gan'zhe'chang'chun 甘蔗长蝽
'gan'zhe'chi'fu'bing 甘蔗赤腐病
'gan'zhe'er'dian'ming 甘蔗二点螟
'gan'zhe'feng'li'bing 甘蔗凤梨病
'gan'zhe'he'tiao'bing 甘蔗褐条病
'gan'zhe'hei'sui'bing 甘蔗黑穗病
'gan'zhe'hong'fen'jie 甘蔗红粉蚧
'gan'zhe'hu'ban'bing 甘蔗虎斑病
'gan'zhe'hua'ye'bing 甘蔗花叶病
'gan'zhe'huang'ban'bing 甘蔗黄斑病
'gan'zhe'hui'fen'jie 甘蔗灰粉蚧
'gan'zhe'ji'ma 甘蔗蓟马
'gan'zhe'lun'ban'bing 甘蔗轮斑病
'gan'zhe'mian'ya 甘蔗绵蚜
'gan'zhe'shao'fu'bing 甘蔗梢腐病
'gan'zhe'shuang'mei'bing 甘蔗霜霉病
'gan'zhe'su'gen'ai'hua'bing 甘蔗宿根矮化病
'gan'zhe'tui'lv'tiao'wen'bing 甘蔗褪绿条纹病
'gan'zhe'xian'chong'bing 甘蔗线虫病
'gan'zhe'xiu'bing 甘蔗锈病
'gan'zhe'yan'ban'bing 甘蔗眼斑病
'gan'zhe'ye'wei'bing 甘蔗叶萎病
'gao'liang'tiao'ming 高粱条螟
'gao'liang'ya 高粱蚜
'gou'jin'zhen'chong 沟金针虫
'guang'lu'zhong'si 广露螽蟖
'gui'la'jie 龟蜡蚧
'he'bian'lv'ci'e 褐边绿刺蛾
'he'ci'e 褐刺蛾
'hei'chi'tu'bai'yi 黑翅土白蚁
'hei'ci'fen'shi 黑刺粉虱
'hei'dian'yin'wen'ye'e 黑点银纹夜蛾
'hei'rong'jin'gui 黑绒金龟
'hei'rong'jin'gui'zi 黑绒金龟子
'hong'la'jie 红蜡蚧
'hong'ma'ban'dian'bing 红麻斑点病
'hong'ma'gen'jie'xian'chong'bing 红麻根结线虫病
'hong'ma'huang'ma'li'ku'bing 红麻黄麻立枯病
'hong'ma'hui'mei'bing 红麻灰霉病
'hong'ma'tan'ju'bing 红麻炭疽病
'hong'ma'yao'zhe'bing 红麻腰折病
'hong'ma'ye'mei'bing 红麻叶霉病
'hong'yuan'deng'e 红缘灯蛾
'hong'zong'hui'ye'e 红棕灰夜蛾
'hua'bei'lou'gu 华北蝼蛄
'hua'ji'ma 花蓟马
'hua'sheng'ya 花生蚜
'huang'cao'di'ming 黄草地螟
'huang'ci'e 黄刺蛾
'huang'ji'ma 黄蓟马
'huang'jian'lv'chun 黄肩绿蝽
'huang'juan'ye'e 黄卷叶蛾
'huang'ma'gen'fu'bing 黄麻根腐病
'huang'ma'gen'jie'xian'chong'bing 黄麻根结线虫病
'huang'ma'he'ban'bing 黄麻褐斑病
'huang'ma'hei'dian'tan'ju'bing 黄麻黑点炭疽病
'huang'ma'jing'ban'bing 黄麻茎斑病
'huang'ma'jing'fu'bing 黄麻茎腐病
'huang'ma'ku'fu'bing 黄麻枯腐病
'huang'ma'ku'wei'bing 黄麻枯萎病
'huang'ma'li'ku'bing 黄麻立枯病
'huang'ma'miao'ku'bing 黄麻苗枯病
'huang'ma'qiao'ye'e 黄麻桥夜蛾
'huang'ma'tan'ju'bing 黄麻炭疽病
'huang'ma'xi'jun'xing'ban'dian'bing 黄麻细菌性斑点病
'huang'ma'ye'ku'bing 黄麻叶枯病
'huang'qu'tiao'tiao'jia 黄曲条跳甲
'huang'xing'tian'niu 黄星天牛
'hui'ba'wo'niu 灰巴蜗牛
'jia'yan'xiao'lv'ye'chan 假眼小绿叶蝉
'jiao'la'jie 角蜡蚧
'jiao'tiao'li'ye'e 焦条丽夜蛾
'jie'xing'ye'man 截形叶螨
'jin'kui'li'ye'e 锦葵丽夜蛾
'ju'huang'fen'shi 桔黄粉虱
'ka'fei'mu'du'e 咖啡木蠹蛾
'ka'fei'xiao'zhao'man 咖啡小爪螨
'ke'ke'guang'chi'la'chan 可可广翅蜡蝉
'ku'wei'bing 枯萎病
'lan'wei'mi'ying'ye'jia 蓝尾迷萤叶甲
'li'ku'bing 立枯病
'li'lv'ci'e 丽绿刺蛾
'lie'dang 列当
'lv'lin'xiang'jia 绿鳞象甲
'lv'mang'chun 绿盲蝽
'lv'xiang'jia 绿象甲
'ma'tian'niu 麻天牛
'mei'guo'bai'e 美国白蛾
'meng'gu'hui'xiang'jia 蒙古灰象甲
'mian'chang'guan'ya 棉长管蚜
'mian'da'juan'ye'ming 棉大卷叶螟
'mian'gen'tian'niu 棉根天牛
'mian'gen'ya 棉根蚜
'mian'he'dai'juan'e 棉褐带卷蛾
'mian'hei'gen'fu'bing 棉黑根腐病
'mian'hei'ya 棉黑蚜
'mian'hong'chun 棉红蝽
'mian'hong'ling'chong 棉红铃虫
'mian'hua'gen'jie'xian'chong'bing 棉花根结线虫病
'mian'hua'he'ban'bing 棉花褐斑病
'mian'hua'hong'fu'bing 棉花红腐病
'mian'hua'hong'huang'ye'ku'bing 棉花红黄叶枯病
'mian'hua'hu'li'jin'gui 棉花弧丽金龟
'mian'hua'huang'wei'bing 棉花黄萎病
'mian'hua'jiao'ban'bing 棉花角斑病
'mian'hua'jing'ku'bing 棉花茎枯病
'mian'hua'ku'wei'bing 棉花枯萎病
'mian'hua'lun'wen'bing 棉花轮纹病
'mian'hua'niu'dai'xian'chong'bing 棉花纽带线虫病
'mian'hua'shen'xing'xian'chong'bing 棉花肾形线虫病
'mian'hua'tan'ju'bing 棉花炭疽病
'mian'hua'ye'shao'bing 棉花叶烧病
'mian'hua'yi'bing 棉花疫病
'mian'huang 棉蝗
'mian'jian'xiang 棉尖象
'mian'jing'mu'du'e 棉茎木蠹蛾
'mian'ling'chong 棉铃虫
'mian'ling'hei'guo'bing 棉铃黑果病
'mian'ling'hong'fen'bing 棉铃红粉病
'mian'ling'hui'mei'bing 棉铃灰霉病
'mian'ling'qu'mei'bing 棉铃曲霉病
'mian'ling'ruan'fu'bing 棉铃软腐病
'mian'mang'chun 棉盲蝽
'mian'miao'cu'dao'bing 棉苗猝倒病
'mian'miao'li'ku'bing 棉苗立枯病
'mian'miao'xiao'xiang 棉苗小象
'mian'shuang'xie'juan'e 棉双斜卷蛾
'mian'si'dian'ye'jia 棉四点叶甲
'mian'xiao'luan'xiang 棉小卵象
'mian'xiao'zao'qiao'chong 棉小造桥虫
'mian'ya 棉蚜
'mian'ye'chan 棉叶蝉
'mu'cao'mang'chun 牧草盲蝽
'mu'lao'chi'huo 木橑尺蠖
'mu'xu'mang'chun 苜蓿盲蝽
'mu'xu'ye'e 苜蓿夜蛾
'ni'ling'wen'ye'chan 拟菱纹叶蝉
'qie'er'shi'ba'xing'piao'chong 茄二十八星瓢虫
'qing'e'la'chan 青蛾蜡蝉
'ren'wen'wu'deng'e 人纹污灯蛾
'ri'ben'gui'la'jie 日本龟蜡蚧
'san'dian'mang'chun 三点盲蝽
'sang'bai'dun'jie 桑白盾蚧
'sang'bai'juan'bing 桑白绢病
'sang'bai'mao'chong 桑白毛虫
'sang'bai'wen'yu'bing 桑白纹羽病
'sang'cheng'ying'wen 桑橙瘿蚊
'sang'chi'huo 桑尺蠖
'sang'chi'xiu'bing 桑赤锈病
'sang'duan'shao'bing 桑断梢病
'sang'fen'jie 桑粉蚧
'sang'fen'shi 桑粉虱
'sang'gan'ku'bing 桑干枯病
'sang'gao'yao 桑膏药
'sang'gen'jie'xian'chong'bing 桑根结线虫病
'sang'gen'ying'wen 桑根瘿蚊
'sang'he'ban'bing 桑褐斑病
'sang'hu'tian'niu 桑虎天牛
'sang'hua'ye'bing 桑花叶病
'sang'hua'ye'xing'wei'suo'bing 桑花叶型萎缩病
'sang'huang 桑蟥
'sang'huang'hua'xing'wei'suo'bing 桑黄化型萎缩病
'sang'huang'mi'ying'ye'jia 桑黄迷萤叶甲
'sang'hui'mei'bing 桑灰霉病
'sang'ji'ma 桑蓟马
'sang'ji'sheng 桑寄生
'sang'li'bai'fen'bing 桑里白粉病
'sang'ming 桑螟
'sang'mu'shi 桑木虱
'sang'ni'gan'ku'bing 桑拟干枯病
'sang'qing'ku'bing 桑青枯病
'sang'shao'xiao'du'chong 桑梢小蠹虫
'sang'shen'jun'he'bing 桑椹菌核病
'sang'shi 桑虱
'sang'shi'ye'man 桑始叶螨
'sang'si'ye'bing'du'bing 桑丝叶病毒病
'sang'suo'e 桑蓑蛾
'sang'tan'ju'bing 桑炭疽病
'sang'tian'niu 桑天牛
'sang'wei'suo'xing'wei'suo'bing 桑萎缩型萎缩病
'sang'wu'ye'bing 桑污叶病
'sang'xi'jiang'chong 桑吸浆虫
'sang'xi'jun'xing'yi'bing 桑细菌性疫病
'sang'xiang'jia 桑象甲
'sang'xiao'hui'xiang'chong 桑小灰象虫
'sang'ya'ku'bing 桑芽枯病
'sang'ye'chan 桑叶蝉
'sang'ye'ku'bing 桑叶枯病
'sang'zhe'chi'chi'huo 桑褶翅尺蠖
'sang'zhu'chong 桑蛀虫
'sang'zi'wen'yu'bing 桑紫纹羽病
'she'yan'jie 蛇眼蚧
'shen'du'e 肾毒蛾
'shen'ze'shi'ye'man 神泽氏叶螨
'shi'gen'yuan'chi'tian'niu 食根缘齿天牛
'shi'ye'xing'hai'chong'ming'e 食叶性害虫螟蛾
'su'hui'ming 粟灰螟
'tai'wan'dao'ming 台湾稻螟
'tai'wan'huang'du'e 台湾黄毒蛾
'tao'ya 桃蚜
'tian'cai'bai'dai'ye'ming 甜菜白带野螟
'tian'cai'bai'fen'bing 甜菜白粉病
'tian'cai'cong'gen'bing 甜菜丛根病
'tian'cai'da'gui'jia 甜菜大龟甲
'tian'cai'gen'fu'bing 甜菜根腐病
'tian'cai'gen'jie'xian'chong'bing 甜菜根结线虫病
'tian'cai'he'ban'bing 甜菜褐斑病
'tian'cai'hua'ye'bing'du'bing 甜菜花叶病毒病
'tian'cai'huang'hua'bing'du'bing 甜菜黄化病毒病
'tian'cai'li'ku'bing 甜菜立枯病
'tian'cai'miao'fu'bing 甜菜苗腐病
'tian'cai'qian'ye'ying 甜菜潜叶蝇
'tian'cai'she'yan'bing 甜菜蛇眼病
'tian'cai'shuang'mei'bing 甜菜霜霉病
'tian'cai'tiao'jia 甜菜跳甲
'tian'cai'xi'jun'xing'ban'ku'bing 甜菜细菌性斑枯病
'tian'cai'xiang'jia 甜菜象甲
'tian'cai'ye'ban'bing 甜菜叶斑病
'tian'cai'ye'e 甜菜夜蛾
'tong'lv'li'jin'gui'zi 铜绿丽金龟子
'tong'xing'ba'wo'niu 同型巴蜗牛
'tu'bei'zhe'gui 突背蔗龟
'tu'si'zi 菟丝子
'wu'du'e 舞毒蛾
'xi'dian'xue'deng'e 稀点雪灯蛾
'xiao'di'lao'hu 小地老虎
'xiao'lv'ye'chan 小绿叶蝉
'xie'wen'ye'e 斜纹夜蛾
'xing'bai'deng'e 星白灯蛾
'xing'tian'niu 星天牛
'xiu'bing 锈病
'xuan'hua'tian'e 旋花天蛾
'ya'ma'ban'dian'bing 亚麻斑点病
'ya'ma'jia'hei'ban'bing 亚麻假黑斑病
'ya'ma'jun'he'bing 亚麻菌核病
'ya'ma'tan'ju'bing 亚麻炭疽病
'ya'zhou'yu'mi'ming 亚洲玉米螟
'yan'cao'bai'fen'bing 烟草白粉病
'yan'cao'bai'juan'bing 烟草白绢病
'yan'cao'ban'dian'bing 烟草斑点病
'yan'cao'bao'nang'xian'chong'bing 烟草胞囊线虫病
'yan'cao'chi'xing'bing 烟草赤星病
'yan'cao'cong'zhi'bing 烟草丛枝病
'yan'cao'cu'dao'bing 烟草猝倒病
'yan'cao'di'tou'hei'bing 烟草低头黑病
'yan'cao'fan'qie'ban'wei'bing'du'bing 烟草番茄斑萎病毒病
'yan'cao'fen'ming 烟草粉螟
'yan'cao'gen'he'fu'xian'chong'bing 烟草根褐腐线虫病
'yan'cao'gen'hei'fu'bing 烟草根黑腐病
'yan'cao'gen'jie'xian'chong'bing 烟草根结线虫病
'yan'cao'hei'jing'bing 烟草黑胫病
'yan'cao'huai'si'bing'du'bing 烟草坏死病毒病
'yan'cao'huan'ban'bing'du'bing 烟草环斑病毒病
'yan'cao'huang'gua'hua'ye'bing'du'bing 烟草黄瓜花叶病毒病
'yan'cao'hui'mei'bing 烟草灰霉病
'yan'cao'jian'ye'bing 烟草剑叶病
'yan'cao'jiao'ban'bing 烟草角斑病
'yan'cao'jun'he'bing 烟草菌核病
'yan'cao'kong'jing'bing 烟草空胫病
'yan'cao'ku'wei'bing 烟草枯萎病
'yan'cao'li'ku'bing 烟草立枯病
'yan'cao'ma'ling'shu'bing'du'bing 烟草马铃薯病毒病
'yan'cao'mei'wu'bing 烟草煤污病
'yan'cao'po'lan'ye'ban'bing 烟草破烂叶斑病
'yan'cao'pu'tong'hua'ye'bing'du'bing 烟草普通花叶病毒病
'yan'cao'qi'hou'ban'dian'bing 烟草气候斑点病
'yan'cao'qian'ye'e 烟草潜叶蛾
'yan'cao'qing'ku'bing 烟草青枯病
'yan'cao'qu'ye'bing'du'bing 烟草曲叶病毒病
'yan'cao'shi'wen'bing'du'bing 烟草蚀纹病毒病
'yan'cao'shuang'mei'bing 烟草霜霉病
'yan'cao'tan'ju'bing 烟草炭疽病
'yan'cao'tian'cai'qu'ding'bing'du'bing 烟草甜菜曲顶病毒病
'yan'cao'wa'yan'bing 烟草蛙眼病
'yan'cao'ye'huo'bing 烟草野火病
'yan'cao'zhu'jing'e 烟草蛀茎蛾
'yan'fen'shi 烟粉虱
'yan'ji'ma 烟蓟马
'yan'qing'chong 烟青虫
'yan'shi'ye'e 烟实夜蛾
'yan'tian'da'hui'xiang 烟田大灰象
'ye'can 野蚕
'ye'kuo'yu 野蛞蝓
'ye'yuan'jie 椰圆蚧
'yi'ci'e 奕刺蛾
'yin'wen'ye'e 银纹夜蛾
'you'cha'kuan'dun'chun 油茶宽盾蝽
'you'hu'lu 油葫芦
'you'tong'chi'huo 油桐尺蠖
'yuan'wen'kuan'guang'la'chan 圆纹宽广蜡蝉
'yun'ban'tian'niu 云斑天牛
'yun'chi'huo 云尺蠖
'zhe'dai'huang'du'e 折带黄毒蛾
'zhi'ma'tian'e 芝麻天蛾
'zhong'hei'mang'chun 中黑盲蝽
'zhong'hua'dao'huang 中华稻蝗
'zhong'hua'zha'meng 中华蚱蜢
'zhu'ma'bai'wen'yu'bing 苎麻白纹羽病
'zhu'ma'chi'jia'die 苎麻赤蛱蝶
'zhu'ma'gen'fu'xian'chong'bing 苎麻根腐线虫病
'zhu'ma'he'ban'bing 苎麻褐斑病
'zhu'ma'hua'ye'bing 苎麻花叶病
'zhu'ma'huang'jia'die 苎麻黄蛱蝶
'zhu'ma'jiao'ban'bing 苎麻角斑病
'zhu'ma'jing'fu'bing 苎麻茎腐病
'zhu'ma'qing'ku'bing 苎麻青枯病
'zhu'ma'tan'ju'bing 苎麻炭疽病
'zhu'ma'tian'niu 苎麻天牛
'zhu'ma'ye'e 苎麻夜蛾
'zhu'ma'yi'bing 苎麻疫病
'zhu'sha'ye'man 朱砂叶螨
