'a'er'tai'gou'wa'hua 阿尔泰狗哇花
'bai'tou'ying 白头鹰
'bai'wen'yu'wang'bing 白纹羽网病
'bai'wu'jiao 拜物教
'bai'wu'zong 稗无踪
'bai'xin 白心
'bai'xing'hua'jin'gui 白星花金龟
'bai'xiu'bing 白锈病
'bai'xue'bing 白血病
'bai'xue'bing 败血病
'bai'ya 摆芽
'bai'yang 摆秧
'bai'yang 白杨
'bai'ye'bing 白叶病
'bai'ye'chuang 百叶窗
'bai'ye'ku'bing 白叶枯病
'bai'yi 白蚁
'bai'yu'e 白羽蛾
'bai'zhi'lin 百治磷
'bai'zhi'tu 百治屠
'bai'zhong 摆种
'bai'zhu 百株
'bai'zi 摆籽
'bai'zi 白子
'ban'bei'an'yuan'chun 斑背安缘蝽
'ban'bing 斑病
'ban'bo'bing'du'bing 斑驳病毒病
'ban'cheng'pin 半成品
'ban'dao 搬到
'ban'dao 绊倒
'ban'dian 斑点
'ban'dian'bing 斑点病
'ban'dong'xing 半冬性
'ban'fa'de 颁发的
'ban'gong 办公
'ban'gong'da'lou 办公大楼
'ban'gong'shi 办公室
'ban'gong'shi'ren'yuan 办公室人员
'ban'gong'tiao'jian 办公条件
'ban'gong'yi 办公椅
'ban'gong'zhuo 办公桌
'ban'han'shi 半旱式
'ban'han'shi'shao'mian'geng 半旱式少免耕
'ban'huo 拌和
'ban'ji'sheng'wu 半寄生物
'ban'kai'fang'shi'peng 半开放式棚
'ban'ku'bing 斑枯病
'ban'kuai 版块
'ban'li'shu 板栗树
'ban'li'yuan 板栗园
'ban'lin'li 斑林狸
'ban'ma 斑马
'ban'ming 斑螟
'ban'nai'han'shu'cai 半耐寒蔬菜
'ban'nian 半年
'ban'qian'ying 斑潜蝇
'ban'qiao 板桥
'ban'ri'gong'zuo 半日工作
'ban'shan 半山
'ban'shan'qu 半山区
'ban'shen'bu'sui 半身不遂
'ban'shu'nai'shou'ji'xian 半数耐受极限
'ban'shu'zhi'si'liang 半数致死量
'ban'tong'bao'jiao'pei 半同胞交配
'ban'wei'ru 半喂入
'ban'xi'tu 拌细土
'ban'xia 半夏
'ban'xu'chun 斑须蝽
'ban'xuan'gua'shi'nong'ju 半悬挂式农具
'ban'ye'su 半叶素
'ban'zai 板栽
'ban'zhen'shang'han 斑疹伤寒
'ban'zhong 拌种
'ban'zhong'an 拌种胺
'ban'zhong'ge 拌种咯
'ban'zhong'ji 拌种机
'ban'zhong'lin 拌种磷
'ban'zhong'ling 拌种灵
'ban'zhong'shuang 拌种双
'ban'zhong'zuo 拌种唑
'ban'zhu 版主
'ban'zhu'ren 办主任
'ban'zhu'ren 班主任
'ban'zi 扳子
'ban'zi 班子
'bang'fu 帮扶
'bang'fu'le 帮扶了
'bang'man 绑蔓
'bang'zhu 帮助
'bang'zhu'nong'min 帮助农民
'bao'chan'dao'hu 包产到户
'bao'chi 保持
'bao'chi'di'wei 保持低位
'bao'chi'lv 保持率
'bao'chi'wen'ding'yun'xing'tai'shi 保持稳定运行态势
'bao'chi'xi 保持系
'bao'chi'zeng'zhang 保持增长
'bao'chun'hua 报春花
'bao'cun 包村
'bao'cun'dian 包村点
'bao'de 保得
'bao'die 暴跌
'bao'fei 保肥
'bao'fei 报费
'bao'feng 保丰
'bao'feng'yu 暴风雨
'bao'gan'dao'hu 包干到户
'bao'gao 报告
'bao'gao'ren 报告人
'bao'gao'shu 报告书
'bao'gen 保根
'bao'gong 包工
'bao'gu'gan 包谷秆
'bao'guang'biao 曝光表
'bao'guang'bu'zu 曝光不足
'bao'guang'guo'du 曝光过度
'bao'guang'shi'jian 曝光时间
'bao'hai 雹害
'bao'hao'hong 保好鸿
'bao'he'shi'du 饱和湿度
'bao'hu'di 保护地
'bao'hu'nong'ye'sheng'chan 保护农业生产
'bao'hu'zhu'yi 保护主义
'bao'jia 报价
'bao'jian'cha 保健茶
'bao'jian'hu'shi 保健护士
'bao'jie 包杰
'bao'kuo 包括
'bao'kuo'fei'xiang'mu'xian 包括非项目县
'bao'li'an 宝丽安
'bao'li'mei'su 保利霉素
'bao'li'yu'mi 爆粒玉米
'bao'liang'hui 包良慧
'bao'lie'xing 爆裂型
'bao'lu 宝路
'bao'lv'su 保绿素
'bao'man'du 饱满度
'bao'mi'lin 保米磷
'bao'mian'dan 保棉丹
'bao'mian'feng 保棉丰
'bao'mian'lin 保棉磷
'bao'miao'ling 保苗灵
'bao'nang'xian'chong'bing 胞囊线虫病
'bao'nie 保蘖
'bao'pan 报盘
'bao'pian 苞片
'bao'ping 报评
'bao'qi'chi 曝气池
'bao'shan 保山
'bao'shan'shi 保山市
'bao'shi 保湿
'bao'shi 暴食
'bao'shi'jie 保时捷
'bao'shou 宝收
'bao'shu 包数
'bao'shu 苞数
'bao'shui 保水
'bao'shui'ji 保水剂
'bao'song 报送
'bao'song'sai 保松噻
'bao'sui 保穗
'bao'tan 报摊
'bao'tong 保通
'bao'tong 报童
'bao'wen 报文
'bao'wen'bing 豹纹病
'bao'wen'ji 保温剂
'bao'xian'dai 保险带
'bao'xian'gang 保险杠
'bao'xian'pei'chang 保险赔偿
'bao'xian'zhi 保鲜酯
'bao'xian'zhu'yun'shu'cai 保鲜贮运蔬菜
'bao'xing 苞兴
'bao'ye 保叶
'bao'ye 苞叶
'bao'yi 包衣
'bao'yi'zhong 包衣种
'bao'you 保优
'bao'you'que 保幼炔
'bao'yu 暴雨
'bao'zhang 保障
'bao'zhang'le 保障了
'bao'zhang'nong'ye'sheng'chan'an'quan 保障农业生产安全
'bao'zhang'zuo'yong 保障作用
'bao'zheng 保证
'bao'zheng'jia'ge 保证价格
'bao'zheng'le 保证了
'bao'zhi 报纸
'bao'zhi'dai'shou'chu 报纸代售处
'bao'zhi'za'zhong 胞质杂种
'bao'zhuang 包装
'bao'zhuang'jiao'dai 包装胶带
'bao'zi 刨子
'bao'zi'gan'lan 抱子甘蓝
'bao'zi'ti 孢子体
'bao'zi'ti'zi'jiao'bu'qin'he'xi'tong 孢子体自交不亲和系统
'bei'bu'wan 北部湾
'bei'bu'wan'jing'ji'qu 北部湾经济区
'bei'ce 北侧
'bei'cha 北叉
'bei'chuan 北川
'bei'chuan'xian 北川县
'bei'dao 被盗
'bei'de 北的
'bei'ding'wei 被定为
'bei'dong'shi 被动式
'bei'dong'shi'tai'yang'neng'jia're 被动式太阳能加热
'bei'fang'tan'ju'bing 北方炭疽病
'bei'hai'jiang'dou 北海豇豆
'bei'hai'lv 被害率
'bei'hai'shi 北海市
'bei'hai'shi'fu'lian 北海市妇联
'bei'hai'shi'ji'zhou'bian'di'qu 北海市及周边地区
'bei'hai'shi'nong'cun'fu'nv'gong'zuo 北海市农村妇女工作
'bei'hai'shi'nong'ye'ju'fu'ju'zhang 北海市农业局副局长
'bei'huang 备荒
'bei'hui'gui'xian 北回归线
'bei'ji'xing 北极星
'bei'jia'jing 倍加净
'bei'jian 备件
'bei'jian'dan'wei 被检单位
'bei'jie 北街
'bei'jin'ling 贝近灵
'bei'jing'ao'yun'hui 北京奥运会
'bei'jing'song 倍腈松
'bei'jing'yin'yue 背景音乐
'bei'jing'you'hu'lu 北京油葫芦
'bei'ju'pian 悲剧片
'bei'ke 碑刻
'bei'le'ba 倍乐霸
'bei'lei 贝类
'bei'liu'lin 倍硫磷
'bei'luo'sha 贝螺杀
'bei'mian 被面
'bei'nong'ye'bu'ding'wei 被农业部定为
'bei'qun'zhong'tou'su 被群众投诉
'bei'shan 陂山
'bei'shan'cun 陂山村
'bei'sheng 倍生
'bei'shou'qing'lai 倍受青睐
'bei'shu 背书
'bei'tai 备胎
'bei'wang'lu 备忘录
'bei'ye 倍液
'bei'yong'lun'tai 备用轮胎
'bei'yu 北玉
'bei'yun'cai 北运菜
'bei'zi'gu 背子谷
'bei'zi'gu'xing 背子谷型
'ben'an'ling 苯胺灵
'ben'bing'mi'zuo'hao 苯并咪唑号
'ben'bu'men 本部门
'ben'cao'mi 苯草醚
'ben'cao'mie 苯草灭
'ben'ci 本次
'ben'da'song 苯达松
'ben'di 本地
'ben'di'chang'zhu'ju'min'xiao'fei'pin'gou'mai'li 本地常住居民消费品购买力
'ben'di'ji'shu 本底计数
'ben'di'qu'fa'sheng'de'ju'min'xiao'fei'pin'gou'mai'li 本地区发生的居民消费品购买力
'ben'ding'xi 苯丁烯
'ben'ding'xi 苯丁锡
'ben'guo'huo'bi 本国货币
'ben'huang'long 苯磺隆
'ben'huang'long 苯黄隆
'ben'jia'xian'niao 苯甲酰脲
'ben'ju 本局
'ben'jun'ling 苯菌灵
'ben'liu'ling 苯硫灵
'ben'liu'wei 苯硫威
'ben'man'mi 苯螨醚
'ben'man'te 苯螨特
'ben'mi'jia'huan'zuo 苯醚甲环唑
'ben'mi'ju'zhi 苯醚菊酯
'ben'mi'jun'zhi 苯醚菌酯
'ben'nian'nong'min'xin'jian'fang'wu'mian'ji 本年农民新建房屋面积
'ben'piao 本票
'ben'qi'jie'yu'gou'mai'li 本期结余购买力
'ben'qi'quan'bu'gou'mai'li 本期全部购买力
'ben'qi'wei'shi'xian'de'gou'mai'li 本期未实现的购买力
'ben'qi'xing'cheng'de'gou'mai'li 本期形成的购买力
'ben'qi'yi'shi'xian'de'gou'mai'li 本期已实现的购买力
'ben'qu'yu 本区域
'ben'sai'cao'an 苯噻草胺
'ben'sai'jun'qing 苯噻菌清
'ben'sai'long 苯噻隆
'ben'sai'qing 苯噻氰
'ben'sai'qing 苯噻清
'ben'sheng'deng 本生灯
'ben'shuang'ling 苯霜灵
'ben'tian 本田
'ben'xia'qu 本辖区
'ben'xia'qu'nei 本辖区内
'ben'xian'jun'an 苯酰菌胺
'ben'xian'lin 苯线磷
'ben'xiu'ding 苯锈啶
'ben'yang'jun'zhi 苯氧菌酯
'ben'yang'wei 苯氧威
'ben'zha'xiu'an 苯扎溴胺
'beng'chu 甭锄
'beng'tiao 蹦跳
'bi'bing'xing 避病性
'bi'bo'dang'yang 碧波荡漾
'bi'cao'an 吡草胺
'bi'cao'tong 吡草酮
'bi'chang'nian'tong'qi 比常年同期
'bi'chong'lin 吡虫啉
'bi'chu 壁橱
'bi'deng 壁灯
'bi'fa'zhan 比发展
'bi'feng'xian 比奉献
'bi'fu'ge'jun'su 吡弗咯菌素
'bi'fu'he'cao'ling 吡氟禾草灵
'bi'fu'yi'cao'ling 吡氟乙草灵
'bi'guan'zi'shou 闭关自守
'bi'hu 壁虎
'bi'jia 毕家
'bi'jiao'ban 壁脚板
'bi'jiao'bo'ruo 比较薄弱
'bi'jiao'kun'nan 比较困难
'bi'jiao'luo'hou 比较落后
'bi'jing'zhi'lu 必经之路
'bi'jiu 比久
'bi'juan 闭卷
'bi'li 比例
'bi'li 秕粒
'bi'li'chi 比例尺
'bi'lu 壁炉
'bi'ma 蓖麻
'bi'man'an 吡满胺
'bi'man'an 吡螨胺
'bi'man'li'ke 吡螨利克
'bi'man'niao 吡螨脲
'bi'mi'huang'long 吡嘧磺隆
'bi'mi'lin 吡嘧磷
'bi'mo 毕摩
'bi'mu'ci 闭幕词
'bi'mu'hui 闭幕会
'bi'mu'shi 闭幕式
'bi'pu'er 必扑尔
'bi'qu'nian 比去年
'bi'qu'nian'tong'qi 比去年同期
'bi'qu'nian'tong'qi'zeng'jia 比去年同期增加
'bi'su'mie 必速灭
'bi'te 比特
'bi'wen'tong 避蚊酮
'bi'xiao'yi 比效益
'bi'xu'yuan'su 必需元素
'bi'xue 必学
'bi'xue'gan'bang 比学赶帮
'bi'ya'tong 吡呀酮
'bi'ya'tong 吡蚜酮
'bi'ya'wu 避蚜雾
'bi'yan 比艳
'bi'yang'lin 彼氧磷
'bi'ye'lun'wen 毕业论文
'bi'ye'sheng 毕业生
'bi'ye'zheng'shu 毕业证书
'bi'yi 避役
'bi'yi'wang 比以往
'bi'yi'wang'ti'gao'le 比以往提高了
'bi'zeng 比增
'bi'zi 鼻子
'bi'zuo'mi'ju'zhi 吡唑醚菊酯
'bi'zuo'te 吡唑特
'bian'cao'an 苄草胺
'bian'cao'dan 苄草丹
'bian'cao'zuo 苄草唑
'bian'ci'e 扁刺蛾
'bian'dan 变淡
'bian'dao 便道
'bian'deng 边灯
'bian'fu'ju'zhi 苄呋菊酯
'bian'gan'cao 扁秆草
'bian'gou 边沟
'bian'hong 变红
'bian'huang 变黄
'bian'ji'xiao'ying 边际效应
'bian'jiao'fei'shi 扁角飞虱
'bian'jiao'jing'tou 变焦镜头
'bian'liang'shu'lie 变量数列
'bian'lv 变绿
'bian'ma'qi 编码器
'bian'ma'yuan 编码员
'bian'man'mi 苄螨醚
'bian'mi'huang'long 苄嘧磺隆
'bian'nong 变浓
'bian'qing 变青
'bian'se'long 变色龙
'bian'su'gan 变速杆
'bian'su'xiang 变速箱
'bian'tai'mi 苄酞醚
'bian'tao 扁桃
'bian'tao'xian 扁桃腺
'bian'xing 变性
'bian'ye'bing 变叶病
'bian'yi'cheng'xu 编译程序
'bian'yi'sui 变异穗
'bian'yi'xi'shu 变异系数
'bian'yi'zhong'xin 变异中心
'bian'zhi'bu'ge'ceng'yu'yang 编织布隔层育秧
'bian'zhi'hu'ji'sheng 扁枝槲寄生
'bian'zi 变紫
'biao'ba 表八
'biao'er 表二
'biao'ji'ji'shu 标记技术
'biao'ji'kun'chong 标记昆虫
'biao'jian'shu'ju 表间数据
'biao'jiu 表九
'biao'jue'quan 表决权
'biao'liu 表六
'biao'ma 骠马
'biao'ming'dong'ji 表明动机
'biao'nei'shu'ju 表内数据
'biao'nong 骠农
'biao'qi 表七
'biao'qian 标签
'biao'san 表三
'biao'shi 表十
'biao'si 表四
'biao'wu 表五
'biao'xing 骠星
'biao'yi 表一
'biao'yu 标语
'biao'zhang 表彰
'biao'zhang'fang'an 表彰方案
'biao'zhi 标志
'biao'zhi 标识
'biao'zhi'bian'yi'du 标志变异度
'biao'zhi'fu 标识符
'biao'zhi'lv 标识率
'biao'zhong 表中
'biao'zhun 标准
'biao'zhun'bu'gou'gao 标准不够高
'biao'zhun'cha 标准差
'biao'zhun'hua 标准化
'biao'zhun'hua'sheng'chan 标准化生产
'biao'zhun'jian 标准间
'biao'zhun'mu 标准亩
'biao'zhun'shui 标准水
'bie'lei 鳖类
'bin'chuan 宾川
'bin'chuan'xian 宾川县
'bin'guan'fan'dian 宾馆饭店
'bin'jiao 鬓角
'bin'zang 殡葬
'bing'an'lin 丙胺磷
'bing'bao 冰雹
'bing'bao'zai 冰雹灾
'bing'can 病蚕
'bing'can'zhu 病残株
'bing'cao'an 丙草胺
'bing'chao'an 丙抄胺
'bing'chen 丙辰
'bing'chong 病虫
'bing'chong'cao 病虫草
'bing'chong'cao'hai 病虫草害
'bing'chong'cao'shu 病虫草鼠
'bing'chong'cao'shu'hai 病虫草鼠害
'bing'chong'hai 病虫害
'bing'chong'hai'fang'zhi 病虫害防治
'bing'chong'hai'jian'ce 病虫害监测
'bing'chong'hai'tong'fang'tong'zhi 病虫害统防统治
'bing'chong'hai'tong'fang'tong'zhi'ji'shu 病虫害统防统治技术
'bing'chong'hai'zhuan'ye'hua'fang'zhi 病虫害专业化防治
'bing'chong'jing 病虫净
'bing'chong'luan 病虫卵
'bing'chong'qing'bao 病虫情报
'bing'chong'yuan 病虫源
'bing'chong'zhu 病虫株
'bing'chuan 冰川
'bing'dou 兵豆
'bing'du 病毒
'bing'du'bing 病毒病
'bing'du'li'ti 病毒粒体
'bing'du'xing 病毒星
'bing'gan 饼干
'bing'hai 病害
'bing'hai'xun'huan 病害循环
'bing'hua'ling 病花灵
'bing'huan'zuo 丙环唑
'bing'ji'ling 冰激凌
'bing'jing 丙净
'bing'liu'duo'jun'ling 丙硫多菌灵
'bing'liu'ke'bai'wei 丙硫克百威
'bing'liu'lin 丙硫磷
'bing'lv 丙氯
'bing'man'qing 丙螨氰
'bing'qing'xiao 病氰硝
'bing'que'man'te 并炔螨特
'bing'sen'xin 丙森锌
'bing'shen 丙申
'bing'tian'xie 并填写
'bing'wan'mi 丙烷脒
'bing'wu 丙午
'bing'xian'lin 丙线磷
'bing'xiu'lin 丙溴磷
'bing'xu 丙戌
'bing'yin 丙寅
'bing'ying 兵营
'bing'yuan 病源
'bing'yuan'xue 病原学
'bing'zai 并在
'bing'zheng 病征
'bing'zhu 病株
'bing'zi 丙子
'bo'chi'ye'ming 薄翅野螟
'bo'chu 剥除
'bo'dao 拨到
'bo'duan 波段
'bo'er'duo'hong'pu'tao'jiu 波尔多红葡萄酒
'bo'er'duo'ye 波尔多液
'bo'fang'jiao'yu'lu'xiang 播放教育录像
'bo'he 薄荷
'bo'hou 播后
'bo'lang'fa 波浪发
'bo'li'bei 玻璃杯
'bo'li'gong'jiang 玻璃工匠
'bo'li'guan 玻璃罐
'bo'li'ping 玻璃瓶
'bo'liang 播量
'bo'luo 菠萝
'bo'mei 波美
'bo'niang'gao 播娘篙
'bo'pi 薄皮
'bo'qi 播期
'bo'qian'chu'li 播前处理
'bo'qiao 薄壳
'bo'ruo 薄弱
'bo'shi 博士
'bo'shi'xue'wei 博士学位
'bo'shui 薄水
'bo'shui'fen'nie 薄水分蘖
'bo'si'ju 波丝菊
'bo'si'ju 波斯菊
'bo'ti 钵体
'bo'tian 薄田
'bo'wei'ge'shu 泊位个数
'bo'wu'guan 博物馆
'bo'xing 跛行
'bo'ye 剥叶
'bo'yin'yuan 播音员
'bo'zai 播栽
'bo'zhong'gou 播种沟
'bo'zhong'ji 播种机
'bo'zhong'ji'hua 播种计划
'bo'zhong'ji'hua'ren'wu 播种计划任务
'bo'zhong'liang 播种量
'bo'zhong'mian'ji 播种面积
'bo'zhong'mian'ji'ying'zhi'biao 播种面积硬指标
'bo'zhuang'gang 波状钢
'bo'zhuang're 波状热
'bo'zi 脖子
'bu'an'ji'shu'yao'qiu 不按技术要求
'bu'biao 布标
'bu'bo 补播
'bu'cao'jing 捕草净
'bu'chang 补偿
'bu'chong 捕虫
'bu'chong'wang 捕虫网
'bu'dan 不但
'bu'de 不得
'bu'dong'chan 不动产
'bu'duan'hang'shi 不断夯实
'bu'duan'qu'de 不断取得
'bu'duan'ti'gao 不断提高
'bu'duan'wan'shan 不断完善
'bu'duan'wan'shan'ji'chu'she'shi 不断完善基础设施
'bu'er'a'si 布尔阿斯
'bu'fa'da 不发达
'bu'fa'da'de 不发达的
'bu'fen'bu'yu'xing 部分不育性
'bu'gao 不高
'bu'gao'pai 布告牌
'bu'gou'gao 不够高
'bu'gou'jin'mi 不够紧密
'bu'gou'quan'mian 不够全面
'bu'gou'zheng'chang 不够正常
'bu'gou'zhong'shi 不够重视
'bu'gou'zhu'dong 不够主动
'bu'gu'niao 布谷鸟
'bu'he'li 不合理
'bu'he'li'jing'zheng 不合理竞争
'bu'ji 簿记
'bu'ji 补给
'bu'ji'shi 簿记师
'bu'jia 步甲
'bu'jian 不减
'bu'jiang'jia'qian 不讲价钱
'bu'jiao 补交
'bu'jie'di'qi 不接地气
'bu'jin 不紧
'bu'jing'qi 不景气
'bu'jing'shen 不敬神
'bu'jing'shi 布景师
'bu'ju'bu'he'li 布局不合理
'bu'ju'xian'yu 不局限于
'bu'ke'gai'zao 不可改造
'bu'ke'xue'de 不科学的
'bu'ke'yu'jian 不可预见
'bu'kuo 捕阔
'bu'lan 不烂
'bu'lao'qiang'du 捕捞强度
'bu'lv'jian'nan 步履艰难
'bu'men 部门
'bu'men'bang'fu 部门帮扶
'bu'men'jian'guan 部门监管
'bu'men'jian'yi'de'xiang'mu 部门建议的项目
'bu'miao 补苗
'bu'mie'shu 捕灭鼠
'bu'nai 不耐
'bu'nai'zhu'cang 不耐贮藏
'bu'neng'bao'zhang 不能保障
'bu'neng'can'hui 不能参会
'bu'qian'cheng 不虔诚
'bu'qiang 不强
'bu'qin'he 不亲和
'bu'qiu'jin'qu 不求进取
'bu'rang'lu 不让路
'bu'rong'hu'shi 不容忽视
'bu'rong'le'guan 不容乐观
'bu'shan'yu 不善于
'bu'shi 布施
'bu'shi 补施
'bu'shi'man 捕食螨
'bu'shi'xing 捕食性
'bu'shi'xing'tian'di 捕食性天敌
'bu'shu'le 部署了
'bu'tong'cheng'du 不同程度
'bu'tong'cheng'du'zeng'jia 不同程度增加
'bu'tong'de 不同的
'bu'tu'xu'ming 不图虚名
'bu'xiang'zuo'wei 不想作为
'bu'xie'tiao 不协调
'bu'xin'jiao 不信教
'bu'xin'shen 不信神
'bu'yu'te 不育特
'bu'yu'xi 不育系
'bu'yu'xing 不育性
'bu'zeng 不增
'bu'zhi'bu'zao 补植补造
'bu'zhi'mian'ji 补植面积
'bu'zhong'shi'xiao 不重实效
'bu'zhu 补助
'bu'zhu'jin 补助金
'bu'zu 不足
'ca'chu 擦除
'ca'mi 擦米
'ca'xie'tong 擦鞋童
'ca'xie'zong'dian 擦鞋棕垫
'cai'ban'qian'ying 菜斑潜蝇
'cai'cao'tong 菜草通
'cai'chao 蔡超
'cai'chun 菜蝽
'cai'da'fang 蔡大防
'cai'dou 菜豆
'cai'e 菜娥
'cai'fa 采伐
'cai'fan 菜贩
'cai'fang'ji'zhe 采访记者
'cai'fen'die 菜粉蝶
'cai'feng'ning 菜丰宁
'cai'feng'shi 裁缝师
'cai'hua 菜花
'cai'huang'long 菜磺隆
'cai'ji'jing'ji 采集经济
'cai'jian'shi 裁剪师
'cai'la 菜辣
'cai'lan'zi'gong'cheng 菜篮子工程
'cai'miao 菜苗
'cai'ming 菜螟
'cai'pu'tao 采葡萄
'cai'qian'ying 彩潜蝇
'cai'qing'chong 菜青虫
'cai'qu 采取
